week,category,weekly_rank,show_title,season_title,runtime,weekly_views,imdb_tconst
2023-11-12,TV (Non-English),7,Strong Girl Nam-soon,1.0,0.0,1900000.0,tt29225198
2023-11-12,TV (Non-English),8,Pact of Silence,1.0,12.0333,1800000.0,tt29195231
2023-11-12,TV (Non-English),9,Attack on Titan,3.0,0.0,1700000.0,tt2560140
2023-11-12,TV (Non-English),10,Cigarette Girl,1.0,5.4167,1600000.0,tt21279114
2023-11-05,Films (English),1,Locked In,,1.6167,17800000.0,tt24870072
2023-11-05,Films (English),2,Pain Hustlers,,2.0833,15200000.0,tt15257160
2023-11-05,Films (English),3,Cold Pursuit,,1.9667,8800000.0,tt5719748
2023-11-05,Films (English),4,Spider-Man: Across the Spider-Verse,,2.3333,8600000.0,tt9362722
2023-11-05,Films (English),5,Old Dads,,1.7333,5000000.0,tt18394190
2023-11-05,Films (English),6,NYAD,,2.0167,4700000.0,tt5302918
2023-11-05,Films (English),7,Sly,,1.6,4700000.0,tt28254460
2023-11-05,Films (English),9,Minions,,1.5167,4400000.0,tt2293640
2023-11-05,Films (English),10,Herself,,1.6167,4100000.0,tt9902160
2023-11-05,Films (Non-English),1,Wingwomen,,1.9333,18500000.0,tt21638298
2023-11-05,Films (Non-English),2,Burning Betrayal,,1.65,6500000.0,tt26787296
2023-11-05,Films (Non-English),3,Sister Death,,1.5167,6100000.0,tt19175696
2023-11-05,Films (Non-English),5,Nowhere,,1.8167,2000000.0,tt15789472
2023-11-05,Films (Non-English),6,Forgotten Love,,2.3333,1700000.0,tt26596953
2023-11-05,Films (Non-English),7,A Deadly Invitation,,1.55,1400000.0,tt13022120
2023-11-05,Films (Non-English),8,Hatching,,1.5167,1300000.0,tt12519030
2023-11-05,Films (Non-English),9,The Takedown,,2.0167,1300000.0,tt13822738
2023-11-05,Films (Non-English),10,Ballerina,,1.5667,1300000.0,tt0048979
2023-11-05,TV (English),1,All the Light We Cannot See,1.0,3.8333,9800000.0,tt15320362
2023-11-05,TV (English),2,Till Murder Do Us Part: Soering vs. Haysom,1.0,3.2167,4700000.0,tt28466971
2023-11-05,TV (English),3,Bodies,1.0,7.6333,4300000.0,tt18347622
2023-11-05,TV (English),4,Life on Our Planet,1.0,6.9333,4300000.0,tt23181388
2023-11-05,TV (English),5,Unicorn Academy,1.0,4.6333,3300000.0,tt27423738
2023-11-05,TV (English),6,Get Gotti,1.0,2.5333,3200000.0,tt29333646
2023-11-05,TV (English),7,The Fall of the House of Usher,1.0,8.2833,2800000.0,tt15567174
2023-11-05,TV (English),8,Selling Sunset,7.0,6.4333,2800000.0,tt9817298
2023-11-05,TV (English),9,Beckham,1.0,4.75,2700000.0,tt14524712
2023-11-05,TV (English),10,Mysteries of the Faith,1.0,2.8167,2300000.0,tt29416049
2023-11-05,TV (Non-English),1,Lupin,3.0,5.5167,3300000.0,tt1018841
2023-11-05,TV (Non-English),2,Pact of Silence,1.0,12.0333,2800000.0,tt29195231
2023-11-05,TV (Non-English),3,Elite,7.0,7.0333,2600000.0,tt7134908
2023-11-05,TV (Non-English),4,Strong Girl Nam-soon,1.0,0.0,2300000.0,tt29225198
2023-11-05,TV (Non-English),5,Doona!,1.0,7.0,2100000.0,tt24245988
2023-11-05,TV (Non-English),6,The Tailor,3.0,5.0833,2000000.0,tt15473010
2023-11-05,TV (Non-English),7,Onimusha,1.0,3.7167,1800000.0,tt22301234
2023-11-05,TV (Non-English),8,Ferry: The Series,1.0,6.1,1700000.0,tt28466970
2023-11-05,TV (Non-English),9,Castaway Diva,1.0,4.8333,1600000.0,tt28348835
2023-11-05,TV (Non-English),10,Lupin,1.0,3.9833,1500000.0,tt1018841
2023-10-29,Films (English),1,Old Dads,,1.7333,16300000.0,tt18394190
2023-10-29,Films (English),2,Pain Hustlers,,2.0833,14100000.0,tt15257160
2023-10-29,Films (English),3,No Hard Feelings,,1.7333,13100000.0,tt15671028
2023-10-29,Films (English),4,Cold Pursuit,,1.9667,6700000.0,tt5719748
2023-10-29,Films (English),5,Alvin and the Chipmunks: Chipwrecked,,1.45,3900000.0,tt1615918
2023-10-29,Films (English),7,Reptile,,2.2667,3500000.0,tt13274016
2023-10-29,Films (English),8,Minions,,1.5167,3000000.0,tt2293640
2023-10-29,Films (English),9,Hotel Transylvania 2,,1.5,2800000.0,tt2510894
2023-10-29,Films (English),10,Alvin and the Chipmunks: The Squeakquel,,1.4833,2600000.0,tt1231580
2023-10-29,Films (Non-English),1,Burning Betrayal,,1.65,14700000.0,tt26787296
2023-10-29,Films (Non-English),2,Sister Death,,1.5167,6200000.0,tt19175696
2023-10-29,Films (Non-English),3,The Quake,,1.7167,3600000.0,tt6523720
2023-10-29,Films (Non-English),4,Dream Girl 2,,2.1167,3000000.0,tt22086334
2023-10-29,Films (Non-English),5,Heaven in Hell,,2.0,2900000.0,tt21249656
2023-10-29,Films (Non-English),6,The Burning Sea,,1.7667,2800000.0,tt12753120
2023-10-29,Films (Non-English),7,Nowhere,,1.8167,2500000.0,tt15789472
2023-10-29,Films (Non-English),8,Crypto Boy,,1.7167,2200000.0,tt24785544
2023-10-29,Films (Non-English),9,Forgotten Love,,2.3333,2100000.0,tt26596953
2023-10-29,Films (Non-English),10,Ballerina,,1.5667,2000000.0,tt0048979
2023-10-29,TV (English),1,Bodies,1.0,7.6333,7700000.0,tt18347622
2023-10-29,TV (English),2,Get Gotti,1.0,2.5333,7300000.0,tt29333646
2023-10-29,TV (English),3,Life on Our Planet,1.0,6.9333,5500000.0,tt23181388
2023-10-29,TV (English),4,The Fall of the House of Usher,1.0,8.2833,4200000.0,tt15567174
2023-10-29,TV (English),5,Beckham,1.0,4.75,4000000.0,tt14524712
2023-10-29,TV (English),6,Big Mouth,7.0,4.65,2700000.0,tt2340201
2023-10-29,TV (English),7,I Woke Up A Vampire,1.0,3.5167,2400000.0,tt27591984
2023-10-29,TV (English),8,Sex Education,4.0,8.1,1700000.0,tt7767422
2023-10-29,TV (English),9,Surviving Paradise,1.0,6.65,1300000.0,tt27849953
2023-10-29,TV (English),10,CoComelon,8.0,1.0667,1300000.0,tt12427840
2023-10-29,TV (Non-English),1,Elite,7.0,7.0333,5300000.0,tt7134908
2023-10-29,TV (Non-English),2,Lupin,3.0,5.5167,4700000.0,tt1018841
2023-10-29,TV (Non-English),3,Doona!,1.0,7.0,4500000.0,tt24245988
2023-10-29,TV (Non-English),4,Pact of Silence,1.0,12.0333,3800000.0,tt29195231
2023-10-29,TV (Non-English),5,Strong Girl Nam-soon,1.0,0.0,2700000.0,tt29225198
2023-10-29,TV (Non-English),6,Lupin,1.0,3.9833,2000000.0,tt1018841
2023-10-29,TV (Non-English),7,Lupin,2.0,3.7833,2000000.0,tt1018841
2023-10-29,TV (Non-English),8,Creature,1.0,6.2167,1900000.0,tt0156205
2023-10-29,TV (Non-English),9,Kaala Paani,1.0,7.25,1500000.0,tt19072562
2023-10-22,Films (English),1,Old Dads,,1.7333,13300000.0,tt18394190
2023-10-22,Films (English),2,The Devil on Trial,,1.3667,8000000.0,tt28810493
2023-10-22,Films (English),3,Gemini Man,,1.95,7300000.0,tt1025100
2023-10-22,Films (English),4,Reptile,,2.2667,7000000.0,tt13274016
2023-10-22,Films (English),5,Long Shot,,2.0833,4200000.0,tt2139881
2023-10-22,Films (English),6,Fair Play,,1.9167,3800000.0,tt16304446
2023-10-22,Films (English),7,No Hard Feelings,,1.7333,3800000.0,tt15671028
2023-10-22,Films (English),8,Tammy,,1.6,3800000.0,tt2103254
2023-10-22,Films (English),9,Spy Kids,,1.4667,3700000.0,tt0227538
2023-10-22,Films (English),10,Scary Movie,,1.4667,3700000.0,tt0175142
2023-10-22,Films (Non-English),1,The Conference,,1.6667,6500000.0,tt26547864
2023-10-22,Films (Non-English),2,Nowhere,,1.8167,5000000.0,tt15789472
2023-10-22,Films (Non-English),3,Ballerina,,1.5667,4200000.0,tt0048979
2023-10-22,Films (Non-English),4,The Quake,,1.7167,3700000.0,tt6523720
2023-10-22,Films (Non-English),5,Forgotten Love,,2.3333,3600000.0,tt26596953
