,week,country,category,at_rank1,cumulative_weeks_in_top_10_1,at_rank2,cumulative_weeks_in_top_10_2,at_rank3,cumulative_weeks_in_top_10_3,at_rank4,cumulative_weeks_in_top_10_4,at_rank5,cumulative_weeks_in_top_10_5,at_rank6,cumulative_weeks_in_top_10_6,at_rank7,cumulative_weeks_in_top_10_7,at_rank8,cumulative_weeks_in_top_10_8,at_rank9,cumulative_weeks_in_top_10_9,at_rank10,cumulative_weeks_in_top_10_10
2021-07-04_Costa_Rica_TV,2021-07-04,Costa_Rica,TV,tt32375039,1,tt10839422,1,tt7134908,1,tt0233127,1,tt0387763,1,,,tt3909224,1,tt12004280,1,tt8598690,1,tt5676412,1
2021-07-04_Croatia_Films,2021-07-04,Croatia,Films,tt32322281,1,tt8231668,1,tt5562070,1,tt6189022,1,,,tt0803096,1,tt2674426,1,tt0903624,1,tt10525672,1,,
2021-07-04_Croatia_TV,2021-07-04,Croatia,TV,tt12004280,1,tt10839422,1,tt7134908,1,tt2531336,1,tt12004280,1,tt4052886,1,tt11102190,1,tt7134908,1,tt14681732,1,tt7134908,1
2021-07-04_Cyprus_Films,2021-07-04,Cyprus,Films,tt32322281,1,tt0330793,1,tt0803096,1,tt5562070,1,tt2267968,1,tt23901220,1,tt8231668,1,tt1340138,1,tt1469304,1,tt6806448,1
2021-07-04_Cyprus_TV,2021-07-04,Cyprus,TV,tt12004280,1,tt10839422,1,tt7134908,1,tt2531336,1,tt14033496,1,tt4052886,1,tt12004280,1,,,tt3909224,1,tt12809988,1
2021-07-04_Czech_Republic_Films,2021-07-04,Czech_Republic,Films,tt32322281,1,tt5562070,1,tt8329148,1,tt9387250,1,tt10687740,1,tt2674426,1,tt8231668,1,tt0803096,1,,,tt2310332,1
2021-07-04_Czech_Republic_TV,2021-07-04,Czech_Republic,TV,tt12004280,1,tt10839422,1,tt12004280,1,tt7134908,1,tt4052886,1,tt2531336,1,tt14033496,1,tt12809988,1,tt4052886,1,tt3909224,1
2021-07-04_Denmark_Films,2021-07-04,Denmark,Films,tt0803096,1,,,tt32322281,1,tt5562070,1,tt9387250,1,tt2267968,1,tt2674426,1,tt8231668,1,tt0903624,1,tt2378830,1
2021-07-04_Denmark_TV,2021-07-04,Denmark,TV,tt12004280,1,tt10839422,1,tt3909224,1,tt2531336,1,tt4052886,1,tt14681732,1,tt2306299,1,tt7817340,1,tt12809988,1,tt1353056,1
2021-07-04_Dominican_Republic_Films,2021-07-04,Dominican_Republic,Films,tt1616102,1,tt37460462,1,tt32322281,1,tt12211820,1,tt0803096,1,tt9387250,1,,,tt5562070,1,tt10525672,1,tt2267968,1
2021-07-04_Dominican_Republic_TV,2021-07-04,Dominican_Republic,TV,tt32375039,1,tt10839422,1,tt3909224,1,tt0387763,1,tt7134908,1,tt12004280,1,tt3904068,1,tt3904068,1,tt3904068,1,tt8598690,1
2021-07-04_Ecuador_Films,2021-07-04,Ecuador,Films,tt1616102,1,tt32322281,1,tt5562070,1,tt2267968,1,tt37460462,1,tt31798137,1,,,tt10525672,1,tt0803096,1,tt9387250,1
2021-07-04_Ecuador_TV,2021-07-04,Ecuador,TV,tt32375039,1,tt3909224,1,tt7134908,1,tt10839422,1,tt0387763,1,tt0233127,1,tt3904068,1,tt3904068,1,tt3904068,1,tt8682738,1
2021-07-04_Egypt_Films,2021-07-04,Egypt,Films,tt32322281,1,tt5562070,1,tt8241160,1,,,tt2674426,1,tt0903624,1,tt0369735,1,tt5051390,1,tt32422884,1,,
2021-07-04_Egypt_TV,2021-07-04,Egypt,TV,tt10839422,1,tt7134908,1,tt12004280,1,tt2531336,1,tt4052886,1,tt32270287,1,tt32270287,1,tt12809988,1,tt32270287,1,tt32270287,1
2021-07-04_El_Salvador_Films,2021-07-04,El_Salvador,Films,tt1616102,1,tt32322281,1,tt2267968,1,tt5562070,1,tt37460462,1,,,tt31798137,1,tt14549558,1,tt30224059,1,tt0126029,1
2021-07-04_El_Salvador_TV,2021-07-04,El_Salvador,TV,tt32375039,1,tt3909224,1,tt0233127,1,tt7134908,1,,,tt3904068,1,tt8598690,1,tt3904068,1,tt3904068,1,tt10839422,1
2021-07-04_Estonia_Films,2021-07-04,Estonia,Films,tt32322281,1,tt0903624,1,tt9387250,1,tt1469304,1,tt8231668,1,tt5562070,1,tt6806448,1,tt0803096,1,tt2674426,1,tt7975244,1
2021-07-04_Estonia_TV,2021-07-04,Estonia,TV,tt12004280,1,tt10839422,1,tt2861424,1,tt7817340,1,tt4052886,1,tt7134908,1,tt2531336,1,tt3909224,1,tt12004280,1,tt4052886,1
2021-07-04_Finland_Films,2021-07-04,Finland,Films,,,tt9387250,1,tt0803096,1,tt32322281,1,tt2674426,1,tt6095472,1,tt2267968,1,tt5562070,1,,,tt8231668,1
2021-07-04_Finland_TV,2021-07-04,Finland,TV,tt12004280,1,tt10839422,1,tt3909224,1,tt19495202,1,tt2531336,1,tt4052886,1,tt14033496,1,tt11102190,1,tt2306299,1,tt7134908,1
2021-07-04_France_Films,2021-07-04,France,Films,tt32322281,1,tt37274197,1,tt2283362,1,tt0903624,1,tt1981128,1,tt1259571,1,tt1170358,1,tt5562070,1,,,tt2446042,1
2021-07-04_France_TV,2021-07-04,France,TV,tt7134908,1,tt10839422,1,tt2531336,1,tt12004280,1,tt3909224,1,tt4052886,1,tt12809988,1,tt7817340,1,tt6048596,1,tt7134908,1
2021-07-04_Germany_Films,2021-07-04,Germany,Films,tt0803096,1,tt32322281,1,tt7286456,1,tt0903624,1,,,tt5562070,1,tt2674426,1,tt11850870,1,tt33365542,1,tt4073790,1
2021-07-04_Germany_TV,2021-07-04,Germany,TV,tt12004280,1,tt10839422,1,tt7134908,1,tt3909224,1,tt2531336,1,tt6111130,1,tt6111130,1,tt7817340,1,tt12809988,1,tt7134908,1
2021-07-04_Greece_Films,2021-07-04,Greece,Films,tt0903624,1,,,tt0452623,1,tt6806448,1,tt5113040,1,tt5562070,1,tt1170358,1,tt2674426,1,tt0803096,1,tt32322281,1
2021-07-04_Greece_TV,2021-07-04,Greece,TV,tt12004280,1,tt10839422,1,tt7134908,1,tt2531336,1,tt7817340,1,tt4052886,1,tt32270287,1,tt32270287,1,tt2741602,1,tt32270287,1
2021-07-04_Guadeloupe_Films,2021-07-04,Guadeloupe,Films,tt32322281,1,tt37274197,1,tt1259571,1,tt9387250,1,,,tt2283362,1,tt5562070,1,tt1325004,1,,,tt0803096,1
2021-07-04_Guadeloupe_TV,2021-07-04,Guadeloupe,TV,tt10839422,1,tt12004280,1,tt3909224,1,tt6045840,1,tt7134908,1,tt7817340,1,tt12564616,1,tt2531336,1,tt6045840,1,tt4052886,1
2021-07-04_Guatemala_Films,2021-07-04,Guatemala,Films,tt32322281,1,tt1616102,1,tt5562070,1,tt37460462,1,tt2267968,1,,,tt31798137,1,tt14549558,1,tt8231668,1,tt10525672,1
2021-07-04_Guatemala_TV,2021-07-04,Guatemala,TV,tt32375039,1,tt0233127,1,tt7134908,1,tt0387763,1,tt10839422,1,tt3909224,1,,,tt8598690,1,tt3904068,1,tt8598690,1
2021-07-04_Honduras_Films,2021-07-04,Honduras,Films,tt1616102,1,tt32322281,1,tt37460462,1,tt5562070,1,,,tt2267968,1,tt10525672,1,tt14549558,1,tt8231668,1,tt12211820,1
2021-07-04_Honduras_TV,2021-07-04,Honduras,TV,tt32375039,1,tt0387763,1,tt7134908,1,tt10839422,1,,,tt3909224,1,tt0233127,1,tt3904068,1,tt3904068,1,tt3904068,1
2021-07-04_Hong_Kong_Films,2021-07-04,Hong_Kong,Films,tt7587604,1,,,tt14781176,1,tt2334879,1,,,tt0317919,1,,,tt0803096,1,tt0833968,1,tt5113040,1
2021-07-04_Hong_Kong_TV,2021-07-04,Hong_Kong,TV,tt12004280,1,tt10477528,1,tt19845542,1,tt14376958,1,tt10839422,1,tt12343534,1,tt11769304,1,tt13433812,1,tt13676344,1,tt11769304,1
2021-07-04_Hungary_Films,2021-07-04,Hungary,Films,tt32322281,1,tt8231668,1,tt5562070,1,,,tt2674426,1,tt9387250,1,tt10525672,1,tt9519642,1,tt8707922,1,tt0803096,1
2021-07-04_Hungary_TV,2021-07-04,Hungary,TV,tt10839422,1,tt12004280,1,tt2531336,1,tt7134908,1,tt6468322,1,tt12809988,1,tt4052886,1,tt12004280,1,tt9185110,1,tt2531336,1
2021-07-04_Iceland_Films,2021-07-04,Iceland,Films,tt0803096,1,tt32322281,1,tt9387250,1,tt8231668,1,tt5562070,1,tt2381991,1,tt2267968,1,tt8746724,1,,,tt7979580,1
2021-07-04_Iceland_TV,2021-07-04,Iceland,TV,tt12004280,1,tt11102190,1,tt10839422,1,tt7817340,1,tt14681732,1,tt3909224,1,tt2531336,1,tt4052886,1,tt12004280,1,tt12809988,1
2021-07-04_India_Films,2021-07-04,India,Films,tt11027830,1,tt10661848,1,,,tt5113040,1,tt2267968,1,tt32322281,1,,,tt0803096,1,tt13824256,1,tt0452623,1
2021-07-04_India_TV,2021-07-04,India,TV,tt21912430,1,tt10839422,1,tt12004280,1,tt6468322,1,tt4052886,1,tt4052886,1,tt4052886,1,tt32270287,1,tt32270287,1,tt4052886,1
2021-07-04_Indonesia_Films,2021-07-04,Indonesia,Films,tt11271990,1,tt7587604,1,tt14781176,1,,,tt32322281,1,,,tt5562070,1,tt2334879,1,,,,
2021-07-04_Indonesia_TV,2021-07-04,Indonesia,TV,tt10839422,1,tt19845542,1,tt14518284,1,tt11769304,1,tt13433812,1,tt11769304,1,tt13814840,1,tt14482414,1,tt13885336,1,tt10850932,1
2021-07-04_Ireland_Films,2021-07-04,Ireland,Films,tt6806448,1,tt6095472,1,tt32322281,1,tt0452623,1,tt1477834,1,,,tt5562070,1,tt0398712,1,tt13323092,1,tt0469494,1
2021-07-04_Ireland_TV,2021-07-04,Ireland,TV,tt14681732,1,tt12004280,1,tt10839422,1,tt7985576,1,tt14033496,1,tt12427840,1,tt7423390,1,tt8467618,1,tt12427840,1,tt12427840,1
2021-07-04_Israel_Films,2021-07-04,Israel,Films,tt32322281,1,tt2674426,1,tt5562070,1,tt2199571,1,tt2126355,1,tt8231668,1,tt1469304,1,tt0330793,1,tt9387250,1,tt10525672,1
2021-07-04_Israel_TV,2021-07-04,Israel,TV,tt12004280,1,tt10839422,1,tt2531336,1,tt7134908,1,tt4052886,1,tt2861424,1,tt14033496,1,tt12004280,1,tt3909224,1,tt4052886,1
2021-07-04_Italy_Films,2021-07-04,Italy,Films,tt32322281,1,tt36455697,1,tt6617618,1,tt8231668,1,tt2674426,1,tt6598238,1,,,tt5033998,1,tt1051904,1,tt5562070,1
2021-07-04_Italy_TV,2021-07-04,Italy,TV,tt12004280,1,tt7134908,1,tt10839422,1,tt2531336,1,tt3909224,1,tt13524842,1,tt4052886,1,tt7134908,1,tt7134908,1,tt7134908,1
2021-07-04_Jamaica_Films,2021-07-04,Jamaica,Films,tt37460462,1,tt1616102,1,tt32322281,1,tt12211820,1,tt0803096,1,tt9387250,1,tt33396137,1,tt31798137,1,tt5562070,1,tt1340138,1
2021-07-04_Jamaica_TV,2021-07-04,Jamaica,TV,tt10839422,1,,,tt12004280,1,tt6045840,1,tt3909224,1,tt14033496,1,,,tt6045840,1,tt4052886,1,tt7134908,1
