,week,country,category,at_rank1,cumulative_weeks_in_top_10_1,at_rank2,cumulative_weeks_in_top_10_2,at_rank3,cumulative_weeks_in_top_10_3,at_rank4,cumulative_weeks_in_top_10_4,at_rank5,cumulative_weeks_in_top_10_5,at_rank6,cumulative_weeks_in_top_10_6,at_rank7,cumulative_weeks_in_top_10_7,at_rank8,cumulative_weeks_in_top_10_8,at_rank9,cumulative_weeks_in_top_10_9,at_rank10,cumulative_weeks_in_top_10_10
2021-08-01_Russia_Films,2021-08-01,Russia,Films,tt6402468,2,tt12808182,1,tt0427152,2,tt12929990,1,tt1893273,1,tt5562070,5,tt7601480,5,tt0134119,4,,,tt12851396,2
2021-08-01_Russia_TV,2021-08-01,Russia,TV,tt10839422,5,tt10293938,1,tt6468322,5,tt38960977,2,tt7134908,5,tt10293938,1,tt2531336,5,tt5180504,3,tt7134908,5,tt2531336,4
2021-08-01_R̩union_Films,2021-08-01,R̩union,Films,tt12929990,1,tt6402468,2,tt12808182,1,tt14315566,1,tt1175081,1,,,,,tt0974015,3,tt12851396,2,,
2021-08-01_R̩union_TV,2021-08-01,R̩union,TV,tt7817340,5,tt7817340,2,tt10293938,1,tt27043648,3,tt8560918,5,tt12626014,4,tt8690776,1,tt10293938,1,tt10839422,5,tt9184994,1
2021-08-01_Saudi_Arabia_Films,2021-08-01,Saudi_Arabia,Films,tt6402468,2,tt1025100,2,tt12808182,1,tt13657102,2,,,,,,,tt14315566,1,,,tt3397802,3
2021-08-01_Saudi_Arabia_TV,2021-08-01,Saudi_Arabia,TV,tt38960977,3,tt38960977,3,tt12626014,3,tt10293938,1,tt10839422,5,tt2306299,5,tt29730749,4,tt4320258,3,tt27043648,3,tt4320258,3
2021-08-01_Serbia_Films,2021-08-01,Serbia,Films,tt6402468,2,tt1893273,2,,,tt12929990,1,tt12808182,1,,,tt0117705,3,tt5033998,1,tt7713068,3,tt32322281,4
2021-08-01_Serbia_TV,2021-08-01,Serbia,TV,tt10293938,1,tt38960977,3,tt38960977,2,tt27043648,3,tt38960977,2,tt10839422,5,tt10293938,1,tt9184994,1,tt38960977,1,tt14902484,1
2021-08-01_Singapore_Films,2021-08-01,Singapore,Films,tt6402468,2,,,tt12074050,1,,,,,tt12808182,1,tt12929990,1,tt1893273,1,tt6806448,4,tt12851396,2
2021-08-01_Singapore_TV,2021-08-01,Singapore,TV,tt38960977,3,tt38960977,3,tt38960977,2,tt2741602,1,tt14518284,4,tt8160178,1,tt13814840,5,tt14376958,5,tt14482414,3,tt11769304,5
2021-08-01_Slovakia_Films,2021-08-01,Slovakia,Films,tt6402468,2,tt12929990,1,tt1893273,2,tt12808182,1,tt5562070,5,tt5033998,1,tt14315566,1,tt7601480,4,tt32322281,5,tt7979580,1
2021-08-01_Slovakia_TV,2021-08-01,Slovakia,TV,tt10293938,1,tt38960977,3,tt14902484,2,tt38960977,2,tt10839422,5,tt38960977,1,tt10293938,1,tt11704040,1,tt27043648,3,tt12004280,5
2021-08-01_Slovenia_Films,2021-08-01,Slovenia,Films,,,tt6402468,2,tt12929990,1,tt5033998,1,tt1893273,2,tt7713068,3,tt12808182,1,tt32322281,5,,,tt2404435,3
2021-08-01_Slovenia_TV,2021-08-01,Slovenia,TV,tt10293938,1,tt38960977,3,tt38960977,3,tt38960977,2,tt10839422,5,tt10293938,1,tt27043648,3,tt38960977,2,tt14902484,2,tt11704040,1
2021-08-01_South_Africa_Films,2021-08-01,South_Africa,Films,tt12929990,1,tt6402468,2,tt1893273,2,tt12808182,1,tt13033790,1,,,tt6472976,2,tt3104988,1,tt12074050,1,tt12851396,2
2021-08-01_South_Africa_TV,2021-08-01,South_Africa,TV,tt38960977,3,tt38960977,3,tt10293938,1,tt11704040,1,tt10293938,1,tt27043648,3,tt9077530,4,tt2372162,1,tt6048596,2,tt10839422,5
2021-08-01_South_Korea_Films,2021-08-01,South_Korea,Films,,,tt6402468,2,,,tt39480694,2,tt3874544,3,tt1981128,2,tt14599938,2,tt14781176,5,tt1893273,1,tt12792418,2
2021-08-01_South_Korea_TV,2021-08-01,South_Korea,TV,tt11769304,5,tt14518284,5,tt14169816,4,tt11769304,5,tt14482414,5,tt8160178,1,tt13814840,5,tt14732874,1,tt14732874,1,tt9466990,2
2021-08-01_Spain_Films,2021-08-01,Spain,Films,tt6402468,2,tt12929990,1,tt1893273,2,tt12808182,1,,,tt14315566,1,tt3874544,1,,,tt13150474,1,tt2404435,3
2021-08-01_Spain_TV,2021-08-01,Spain,TV,tt8690776,2,tt10293938,1,tt14417802,1,tt38960977,3,tt9077530,4,tt9184994,1,tt10839422,5,tt38960977,2,tt27043648,3,tt32375039,5
2021-08-01_Sri_Lanka_Films,2021-08-01,Sri_Lanka,Films,tt12074050,1,tt6402468,2,tt1893273,2,tt12929990,1,,,tt11027830,5,,,tt12808182,1,,,tt12851396,2
2021-08-01_Sri_Lanka_TV,2021-08-01,Sri_Lanka,TV,tt38960977,3,tt38960977,3,tt38960977,2,tt10293938,1,tt27043648,3,tt2741602,2,tt10839422,5,tt27043648,3,tt14518284,2,tt2741602,1
2021-08-01_Sweden_Films,2021-08-01,Sweden,Films,tt6402468,2,,,tt12929990,1,tt2404435,3,tt12851396,2,tt12808182,1,tt8368408,3,tt7280898,2,,,,
2021-08-01_Sweden_TV,2021-08-01,Sweden,TV,tt10293938,1,tt38960977,3,tt38960977,2,tt9077530,4,tt14664414,5,tt10293938,1,tt11704040,1,tt38960977,1,tt10839422,5,tt19495202,2
2021-08-01_Switzerland_Films,2021-08-01,Switzerland,Films,tt6402468,2,tt12929990,1,tt12808182,1,tt5606664,1,tt14315566,1,,,,,,,tt32322281,5,tt2404435,3
2021-08-01_Switzerland_TV,2021-08-01,Switzerland,TV,tt10293938,1,tt2741602,2,tt38960977,3,tt9184994,1,tt7817340,5,tt9077530,4,tt38960977,2,tt12626014,3,tt8690776,2,tt27043648,3
2021-08-01_Taiwan_Films,2021-08-01,Taiwan,Films,,,tt6402468,2,,,,,tt12808182,1,tt1893273,1,tt6806448,4,tt9685342,3,tt0833968,5,tt12929990,1
2021-08-01_Taiwan_TV,2021-08-01,Taiwan,TV,tt14518284,4,tt14376958,5,tt11769304,5,tt38960977,3,tt11769304,5,tt8160178,1,tt14482414,3,tt38960977,2,tt13433812,5,tt29362887,4
2021-08-01_Thailand_Films,2021-08-01,Thailand,Films,tt6402468,2,,,,,tt12808182,1,tt12851396,2,,,tt6114094,4,tt7576076,1,tt2210498,3,tt5562070,2
2021-08-01_Thailand_TV,2021-08-01,Thailand,TV,tt14518284,5,tt10666992,3,tt13433812,5,tt38960977,3,tt8160178,1,tt38960977,3,tt38960977,2,tt14732874,2,tt14732874,1,tt16077338,4
2021-08-01_Trinidad_and_Tobago_Films,2021-08-01,Trinidad_and_Tobago,Films,tt12929990,1,tt32596875,1,tt6402468,2,tt12808182,1,,,tt1893273,2,,,tt14315566,1,tt12851396,2,tt14066510,1
2021-08-01_Trinidad_and_Tobago_TV,2021-08-01,Trinidad_and_Tobago,TV,tt10293938,1,tt27043648,3,tt11704040,1,,,,,tt10293938,1,tt12626014,4,tt9077530,4,tt10839422,5,tt22541836,1
2021-08-01_Turkey_Films,2021-08-01,Turkey,Films,tt6402468,2,,,tt1718739,2,tt12808182,1,tt8135550,2,,,tt1893273,1,tt12929990,1,,,tt14315566,1
2021-08-01_Turkey_TV,2021-08-01,Turkey,TV,tt9184994,1,tt10839422,5,tt10293938,1,tt8690776,1,tt12626014,3,tt27097227,5,tt5197820,3,tt4052886,5,tt7134908,5,tt14832996,3
2021-08-01_Ukraine_Films,2021-08-01,Ukraine,Films,tt6402468,2,tt12929990,1,tt12808182,1,tt1893273,1,,,tt12851396,2,tt5562070,5,tt0134119,4,tt2404435,3,tt32322281,5
2021-08-01_Ukraine_TV,2021-08-01,Ukraine,TV,tt38960977,3,tt10839422,5,tt38960977,2,tt10293938,1,tt38960977,2,tt10293938,1,tt14832996,3,tt2531336,5,tt38960977,1,tt9184994,1
2021-08-01_United_Arab_Emirates_Films,2021-08-01,United_Arab_Emirates,Films,tt12074050,1,tt6402468,2,tt1025100,2,,,tt12929990,1,tt12808182,1,tt1893273,1,,,,,tt12851396,2
2021-08-01_United_Arab_Emirates_TV,2021-08-01,United_Arab_Emirates,TV,tt38960977,3,tt38960977,3,tt10293938,1,tt10839422,5,tt27043648,3,tt11704040,1,tt12626014,4,tt14163838,1,tt14902484,1,tt2306299,5
2021-08-01_United_Kingdom_Films,2021-08-01,United_Kingdom,Films,tt6402468,2,tt1386697,2,tt2140479,1,tt12929990,1,,,tt13292336,2,tt0918940,1,tt4116284,1,tt3731562,1,tt2404435,3
2021-08-01_United_Kingdom_TV,2021-08-01,United_Kingdom,TV,tt10293938,1,tt9077530,4,tt11704040,1,tt10293938,1,tt10839422,5,tt27043648,3,tt0426769,3,tt12427840,3,tt32270287,2,tt8467618,1
2021-08-01_United_States_Films,2021-08-01,United_States,Films,tt6402468,2,tt12929990,1,tt1893273,2,tt37274197,3,,,tt1259571,3,tt1325004,3,,,tt1626248,1,tt29668370,2
2021-08-01_United_States_TV,2021-08-01,United_States,TV,tt10293938,1,tt7414406,1,tt10293938,1,tt1520211,1,tt9077530,4,tt14738778,5,tt11704040,1,tt7414406,1,tt3107288,1,tt14738778,5
2021-08-01_Uruguay_Films,2021-08-01,Uruguay,Films,tt6402468,2,tt12929990,1,tt1893273,2,tt12808182,1,tt14315566,1,tt32596875,1,tt12831682,1,,,tt3759298,1,tt14066510,1
2021-08-01_Uruguay_TV,2021-08-01,Uruguay,TV,tt8690776,2,tt12626014,4,tt14417802,1,tt0289649,2,tt32375039,5,tt10293938,1,tt9077530,4,,,tt9184994,1,tt8690776,1
2021-08-01_Venezuela_Films,2021-08-01,Venezuela,Films,tt6402468,2,tt12929990,1,tt1893273,2,tt12808182,1,tt14315566,1,tt32596875,1,tt12831682,1,,,tt13606090,2,tt5562070,4
2021-08-01_Venezuela_TV,2021-08-01,Venezuela,TV,tt14417802,1,,,tt32375039,5,tt12626014,4,tt5676412,5,tt0233127,5,tt8690776,2,tt5676412,1,tt3904068,4,tt10839422,5
2021-08-01_Vietnam_Films,2021-08-01,Vietnam,Films,tt6402468,2,,,,,,,tt6806448,4,tt14023894,4,tt12808182,1,tt10622410,5,tt8685802,5,tt1477834,1
2021-08-01_Vietnam_TV,2021-08-01,Vietnam,TV,tt8523042,2,tt14518284,5,tt13433812,5,tt11769304,5,tt10850932,5,tt38960977,3,tt5182866,5,tt38960977,2,tt7622902,4,tt11769304,5
2021-08-08_Argentina_Films,2021-08-08,Argentina,Films,tt8561200,1,tt12808182,2,tt10675724,1,tt12929990,2,tt14366176,1,tt5220122,1,tt6402468,3,tt2101341,1,tt11697484,1,,
2021-08-08_Argentina_TV,2021-08-08,Argentina,TV,tt14417802,2,tt0289649,3,tt32375039,6,tt12626014,5,tt10293938,2,tt8690776,3,tt0387763,6,tt11937662,1,tt19879648,1,tt22541836,1
2021-08-08_Australia_Films,2021-08-08,Australia,Films,tt7286456,1,tt12929990,2,tt0770828,1,tt8561200,1,,,tt14366176,1,tt0241527,4,tt27666796,4,tt0817538,1,tt0417741,3
2021-08-08_Australia_TV,2021-08-08,Australia,TV,tt10293938,2,tt10293938,2,tt38317156,3,tt8893550,1,tt14992232,1,tt2861424,6,tt15049206,1,,,tt9077530,5,tt19879648,1
2021-08-08_Austria_Films,2021-08-08,Austria,Films,tt12929990,2,tt12808182,2,tt15036416,1,,,tt5563334,1,tt8561200,1,tt6343314,1,tt6402468,3,tt1893273,3,tt0318155,1
2021-08-08_Austria_TV,2021-08-08,Austria,TV,tt10293938,2,tt2741602,3,tt10293938,2,tt38960977,4,tt38960977,2,tt9184994,2,tt2741602,3,tt6342474,1,tt10839422,6,tt7817340,6
2021-08-08_Bahamas_Films,2021-08-08,Bahamas,Films,tt12929990,2,tt32596875,2,tt12808182,2,tt8561200,1,tt2101341,1,,,tt1592525,1,tt14366176,1,tt6402468,3,tt0317303,1
2021-08-08_Bahamas_TV,2021-08-08,Bahamas,TV,tt10293938,2,tt19879648,1,tt10293938,2,tt22541836,2,tt15049206,1,tt22541836,1,,,tt35136694,1,,,tt11704040,2
2021-08-08_Bahrain_Films,2021-08-08,Bahrain,Films,tt12074050,2,tt12808182,2,tt8561200,1,tt6402468,3,tt1025100,3,tt0781434,1,tt6232802,1,tt0145681,1,tt12929990,2,tt14366176,1
2021-08-08_Bahrain_TV,2021-08-08,Bahrain,TV,tt38960977,4,tt38960977,4,tt10293938,2,tt10293938,1,,,tt19879648,1,tt33290268,1,tt4320258,1,tt8893550,1,tt4320258,4
2021-08-08_Bangladesh_Films,2021-08-08,Bangladesh,Films,tt12074050,2,tt11027830,6,tt0781434,1,tt6402468,3,,,tt8561200,1,tt7713068,2,tt12808182,1,tt10543680,3,tt1562872,4
2021-08-08_Bangladesh_TV,2021-08-08,Bangladesh,TV,tt38960977,4,tt38960977,4,tt38960977,3,tt27043648,4,tt10839422,6,tt6468322,5,tt14163838,3,tt33290268,1,tt14518284,5,tt13433812,6
2021-08-08_Belgium_Films,2021-08-08,Belgium,Films,tt12808182,2,tt8561200,1,tt12929990,2,tt1175081,1,tt0796308,1,,,tt6402468,3,tt14366176,1,tt0469641,1,tt21615896,1
2021-08-08_Belgium_TV,2021-08-08,Belgium,TV,tt10293938,2,tt10293938,2,tt12626014,5,tt19879648,1,tt10839422,6,tt9077530,5,tt14992232,1,tt27043648,4,tt19495202,3,tt9184994,2
2021-08-08_Bolivia_Films,2021-08-08,Bolivia,Films,tt12808182,2,tt12929990,2,tt14366176,1,tt8561200,1,tt5220122,1,tt10675724,1,tt6402468,3,,,tt32596875,2,tt1620981,1
2021-08-08_Bolivia_TV,2021-08-08,Bolivia,TV,tt11937662,1,tt0233127,6,tt14417802,2,tt32375039,6,tt0387763,6,tt3904068,6,tt3904068,5,tt1704637,6,,,tt11937662,1
2021-08-08_Brazil_Films,2021-08-08,Brazil,Films,tt12808182,2,tt14366176,1,tt12929990,2,tt8561200,1,tt10675724,1,tt2101341,1,tt1230168,1,tt11697484,1,tt5220122,1,,
2021-08-08_Brazil_TV,2021-08-08,Brazil,TV,tt33374179,5,tt10293938,2,tt22541836,2,tt2734004,6,tt11937662,1,tt10293938,1,tt8430062,6,tt14902484,3,tt22541836,1,tt12626014,5
2021-08-08_Bulgaria_Films,2021-08-08,Bulgaria,Films,tt12929990,2,tt12808182,2,,,tt5113040,1,tt8695030,1,tt0397535,1,tt6232802,1,tt0360486,1,tt6402468,3,tt6343314,1
2021-08-08_Bulgaria_TV,2021-08-08,Bulgaria,TV,tt10293938,2,tt38960977,4,tt10293938,2,tt38960977,3,tt38960977,3,tt38960977,2,tt10839422,6,tt27043648,4,tt14992232,1,,
2021-08-08_Canada_Films,2021-08-08,Canada,Films,tt1626248,2,tt11083552,3,tt34799480,2,tt18071320,1,tt12929990,2,tt8561200,1,tt6095472,2,tt39232292,1,tt14366176,1,tt22170214,1
2021-08-08_Canada_TV,2021-08-08,Canada,TV,tt10293938,2,tt10293938,2,tt15049206,1,tt1520211,2,tt11704040,2,tt14992232,1,tt9077530,5,,,tt8893550,1,,
2021-08-08_Chile_Films,2021-08-08,Chile,Films,tt12808182,2,tt12929990,2,tt14366176,1,tt8561200,1,,,tt10675724,1,tt5220122,1,tt6402468,3,tt2101341,1,tt1893273,3
2021-08-08_Chile_TV,2021-08-08,Chile,TV,tt14417802,2,tt11937662,1,tt0233127,6,tt32375039,6,tt0387763,6,tt12626014,5,tt3904068,6,tt3904068,4,,,tt3904068,4
2021-08-08_Colombia_Films,2021-08-08,Colombia,Films,tt12808182,2,tt8561200,1,tt12929990,2,tt14366176,1,tt6402468,3,tt10675724,1,,,tt2101341,1,tt5220122,1,tt32596875,2
2021-08-08_Colombia_TV,2021-08-08,Colombia,TV,tt32375039,6,tt11937662,1,,,tt0233127,6,tt22541836,1,tt11937662,1,tt12626014,4,tt10839422,6,tt5676412,2,tt0387763,2
2021-08-08_Costa_Rica_Films,2021-08-08,Costa_Rica,Films,tt12929990,2,tt8561200,1,tt14366176,1,tt12808182,2,tt10675724,1,tt5220122,1,tt6402468,3,tt1893273,3,tt32596875,2,tt2101341,1
2021-08-08_Costa_Rica_TV,2021-08-08,Costa_Rica,TV,tt14417802,2,tt32375039,6,tt11937662,1,tt0233127,6,tt0387763,6,,,tt12626014,5,tt10293938,2,tt22541836,1,tt5676412,4
2021-08-08_Croatia_Films,2021-08-08,Croatia,Films,tt12929990,2,,,tt8561200,1,tt12808182,2,tt1893273,3,tt6402468,3,tt5113040,1,tt8695030,1,,,tt6343314,1
2021-08-08_Croatia_TV,2021-08-08,Croatia,TV,tt10293938,2,tt10293938,2,tt38960977,4,tt10839422,6,tt38960977,3,tt14992232,1,tt38960977,3,tt11704040,2,tt27043648,4,tt15049206,1
2021-08-08_Cyprus_Films,2021-08-08,Cyprus,Films,tt12808182,2,tt12929990,2,,,tt14366176,1,tt0408839,1,tt8561200,1,tt6402468,3,tt0111161,1,,,tt1893273,3
2021-08-08_Cyprus_TV,2021-08-08,Cyprus,TV,tt38960977,4,tt10293938,2,tt38960977,3,tt38960977,3,tt38960977,2,tt10293938,2,tt19879648,1,tt6116060,4,tt10839422,6,tt14992232,1
2021-08-08_Czech_Republic_Films,2021-08-08,Czech_Republic,Films,tt5113040,1,tt12929990,2,tt12808182,2,tt6402468,3,tt8561200,1,tt1893273,3,tt6343314,1,tt6232802,1,tt14366176,1,tt8695030,1
2021-08-08_Czech_Republic_TV,2021-08-08,Czech_Republic,TV,tt10293938,2,tt10293938,2,tt38960977,4,tt38960977,3,tt38960977,3,tt14902484,3,tt11704040,2,,,tt38960977,1,tt19879648,1
2021-08-08_Denmark_Films,2021-08-08,Denmark,Films,tt6902332,1,tt12929990,2,tt12808182,2,tt8561200,1,tt14366176,1,tt0195685,1,tt1535108,1,tt6232802,1,tt1300851,1,tt1620981,1
2021-08-08_Denmark_TV,2021-08-08,Denmark,TV,tt10293938,2,tt38960977,4,tt10293938,2,tt38960977,3,tt38960977,3,tt14992232,1,tt9077530,5,tt8893550,1,tt11704040,2,tt15049206,1
2021-08-08_Dominican_Republic_Films,2021-08-08,Dominican_Republic,Films,tt12929990,2,tt12808182,2,tt8561200,1,tt2101341,1,tt14366176,1,,,tt2334879,1,tt10675724,1,tt32596875,2,tt5220122,1
2021-08-08_Dominican_Republic_TV,2021-08-08,Dominican_Republic,TV,tt14417802,2,tt22541836,2,tt32375039,6,tt11937662,1,tt0387763,6,tt10293938,1,,,tt3904068,6,tt3904068,6,tt22541836,1
2021-08-08_Ecuador_Films,2021-08-08,Ecuador,Films,tt12808182,2,tt12929990,2,tt8561200,1,tt5220122,1,tt14366176,1,tt10675724,1,tt2334879,1,tt6402468,3,tt2101341,1,tt32596875,2
2021-08-08_Ecuador_TV,2021-08-08,Ecuador,TV,tt14417802,2,tt32375039,6,tt11937662,1,tt0387763,6,tt0233127,6,tt3904068,6,tt3904068,6,,,tt3904068,6,tt3904068,5
2021-08-08_Egypt_Films,2021-08-08,Egypt,Films,tt1025100,3,,,tt12808182,2,tt6402468,3,tt8561200,1,,,tt12929990,2,tt0145681,1,tt14366176,1,tt6232802,1
2021-08-08_Egypt_TV,2021-08-08,Egypt,TV,tt38960977,4,tt38960977,4,tt10293938,2,tt10293938,2,tt10839422,6,tt27043648,4,tt32270287,4,tt32270287,4,tt7134908,6,tt32270287,2
2021-08-08_El_Salvador_Films,2021-08-08,El_Salvador,Films,tt12929990,2,tt12808182,2,tt8561200,1,tt5220122,1,tt6402468,3,tt14366176,1,,,tt2334879,1,tt10675724,1,tt2101341,1
2021-08-08_El_Salvador_TV,2021-08-08,El_Salvador,TV,tt14417802,2,tt32375039,6,tt11937662,1,tt0233127,6,,,tt3904068,6,tt0387763,5,tt3904068,6,tt3904068,5,tt3904068,2
2021-08-08_Estonia_Films,2021-08-08,Estonia,Films,tt12929990,2,tt12808182,2,tt8561200,1,tt6232802,1,tt6402468,3,tt6343314,1,tt6028590,1,tt1893273,3,,,tt1386697,1
2021-08-08_Estonia_TV,2021-08-08,Estonia,TV,tt10293938,2,tt10293938,2,tt2861424,6,tt10839422,6,tt7817340,6,tt15049206,1,tt11704040,2,tt14992232,1,tt7817340,5,tt27043648,4
2021-08-08_Finland_Films,2021-08-08,Finland,Films,tt6902332,1,tt8561200,1,tt12808182,2,tt12929990,2,,,tt6402468,3,tt14366176,1,tt1620981,1,tt6232802,1,,
2021-08-08_Finland_TV,2021-08-08,Finland,TV,tt10293938,2,tt38960977,4,tt38960977,3,tt38960977,3,tt10293938,2,tt9077530,5,tt15049206,1,tt14992232,1,tt19879648,1,tt10839422,6
2021-08-08_France_Films,2021-08-08,France,Films,tt12808182,2,tt1175081,2,tt12929990,2,tt8561200,1,,,tt10228992,1,tt6402468,3,tt2531344,1,tt0469641,1,tt1179933,1
2021-08-08_France_TV,2021-08-08,France,TV,tt10293938,2,tt10293938,2,tt7817340,6,tt7817340,3,tt12626014,5,tt19879648,1,tt10839422,6,tt9184994,2,tt14992232,1,tt27043648,4
2021-08-08_Germany_Films,2021-08-08,Germany,Films,tt15036416,1,tt12808182,2,,,tt12929990,2,tt6343314,1,tt8561200,1,tt5563334,1,tt6402468,3,tt0469641,1,tt6232802,1
2021-08-08_Germany_TV,2021-08-08,Germany,TV,tt10293938,2,tt2741602,3,tt10293938,2,tt9184994,2,tt38960977,4,tt38960977,2,tt6342474,1,tt2741602,3,tt7817340,6,tt2193021,1
2021-08-08_Greece_Films,2021-08-08,Greece,Films,tt12808182,2,tt12929990,2,tt8561200,1,,,tt0111161,1,,,tt6402468,3,tt14366176,1,tt1893273,3,tt8695030,1
2021-08-08_Greece_TV,2021-08-08,Greece,TV,tt10293938,2,tt10293938,1,tt38960977,4,tt38960977,3,tt38960977,3,tt19879648,1,tt12626014,5,tt7817340,6,tt10839422,6,tt38960977,1
2021-08-08_Guadeloupe_Films,2021-08-08,Guadeloupe,Films,tt12929990,2,tt1175081,2,tt12808182,2,tt8561200,1,tt32596875,2,tt10228992,1,,,tt14366176,1,tt6402468,3,tt2531344,1
2021-08-08_Guadeloupe_TV,2021-08-08,Guadeloupe,TV,tt10293938,2,tt7817340,3,tt7817340,6,tt10293938,2,tt9335498,1,tt19879648,1,tt8560918,4,tt27043648,4,tt12626014,5,,
2021-08-08_Guatemala_Films,2021-08-08,Guatemala,Films,tt12929990,2,tt8561200,1,tt12808182,2,tt14366176,1,tt5220122,1,tt10675724,1,tt6402468,3,tt1692190,1,tt2101341,1,tt32596875,2
2021-08-08_Guatemala_TV,2021-08-08,Guatemala,TV,tt14417802,2,tt32375039,6,tt11937662,1,tt0233127,6,tt0387763,6,,,tt11937662,1,tt8598690,6,tt3904068,3,tt3904068,2
2021-08-08_Honduras_Films,2021-08-08,Honduras,Films,tt12929990,2,tt8561200,1,tt12808182,2,tt10675724,1,tt14366176,1,tt5220122,1,tt1692190,1,tt32596875,2,tt6402468,3,tt2101341,1
2021-08-08_Honduras_TV,2021-08-08,Honduras,TV,tt14417802,2,tt32375039,6,tt11937662,1,tt0387763,6,,,tt0233127,6,tt3904068,6,tt3904068,6,tt3904068,4,tt3904068,2
2021-08-08_Hong_Kong_Films,2021-08-08,Hong_Kong,Films,tt3522806,1,tt6402468,3,tt1025100,1,,,,,tt2592614,1,tt12808182,2,tt1153040,1,tt35538033,1,tt8561200,1
2021-08-08_Hong_Kong_TV,2021-08-08,Hong_Kong,TV,tt14518284,5,tt38960977,4,tt33290268,1,tt38960977,3,tt11769304,6,tt38960977,3,tt13814840,4,,,tt8160178,2,tt12343534,6
2021-08-08_Hungary_Films,2021-08-08,Hungary,Films,tt12929990,2,tt5113040,1,tt12808182,2,tt1893273,3,tt0397535,1,tt6402468,3,tt8695030,1,tt8561200,1,,,tt6232802,1
2021-08-08_Hungary_TV,2021-08-08,Hungary,TV,tt10293938,2,tt10293938,2,tt19879648,1,tt10839422,6,tt6468322,6,tt11704040,2,tt12626014,5,,,tt14033496,5,tt14992232,1
2021-08-08_Iceland_Films,2021-08-08,Iceland,Films,tt12929990,2,tt12808182,2,tt8561200,1,,,tt14366176,1,tt6402468,3,,,tt17528598,4,tt1620981,1,,
2021-08-08_Iceland_TV,2021-08-08,Iceland,TV,tt10293938,2,tt38960977,4,tt38960977,3,tt38960977,3,tt10293938,2,,,tt8893550,1,tt15049206,1,tt9077530,5,tt11704040,2
2021-08-08_India_Films,2021-08-08,India,Films,tt0781434,1,tt12074050,2,tt11027830,6,tt0360486,1,tt12808182,2,tt11697484,1,tt8561200,1,tt6402468,3,tt1663662,1,tt2186731,2
2021-08-08_India_TV,2021-08-08,India,TV,tt38960977,4,tt38960977,3,tt38960977,3,tt27043648,4,tt6468322,6,tt14163838,3,tt10839422,6,tt19879648,1,tt10293938,1,tt4052886,6
2021-08-08_Indonesia_Films,2021-08-08,Indonesia,Films,,,tt6402468,3,tt6189022,2,tt1025100,1,,,tt8561200,1,tt12074050,1,tt12808182,1,,,tt13606090,4
2021-08-08_Indonesia_TV,2021-08-08,Indonesia,TV,tt14518284,6,tt11769304,6,tt13814840,6,tt8160178,1,tt13433812,6,tt10809864,3,tt13814840,5,tt38960977,4,tt11769304,6,tt38960977,3
2021-08-08_Ireland_Films,2021-08-08,Ireland,Films,tt32011901,1,tt1727824,1,tt5965816,1,tt12929990,2,tt8561200,1,tt32813390,1,tt1355683,1,tt1386697,3,tt0469641,1,tt14366176,1
2021-08-08_Ireland_TV,2021-08-08,Ireland,TV,tt10293938,2,tt10293938,2,tt15049206,1,tt9077530,5,tt7985576,6,tt11704040,2,tt19879648,1,tt10839422,6,tt12427840,6,tt8467618,3
2021-08-08_Israel_Films,2021-08-08,Israel,Films,tt12808182,2,tt12929990,2,tt11697484,1,tt0117705,1,,,tt1893273,3,tt14366176,1,tt6402468,3,tt8561200,1,tt8258074,2
2021-08-08_Israel_TV,2021-08-08,Israel,TV,tt19879648,1,tt10293938,2,tt38960977,4,tt38960977,3,tt38960977,3,tt10293938,2,tt38960977,2,tt10839422,6,tt14992232,1,tt2861424,4
2021-08-08_Italy_Films,2021-08-08,Italy,Films,tt12929990,2,,,tt12808182,2,tt8561200,1,,,,,tt14142914,1,tt0398375,1,tt6402468,3,tt21861090,1
2021-08-08_Italy_TV,2021-08-08,Italy,TV,tt10293938,2,tt10293938,1,tt38960977,4,tt38960977,3,tt38960977,2,tt9184994,2,tt12626014,5,tt10839422,6,tt27043648,4,,
2021-08-08_Jamaica_Films,2021-08-08,Jamaica,Films,tt12929990,2,tt2334879,1,tt12808182,2,tt2101341,1,tt32596875,2,tt8561200,1,tt1592525,1,,,tt14366176,1,tt1308729,1
2021-08-08_Jamaica_TV,2021-08-08,Jamaica,TV,tt19879648,1,tt10293938,2,tt22541836,2,tt22541836,2,tt10293938,2,,,,,tt22541836,1,tt11704040,2,tt10839422,6
2021-08-08_Japan_Films,2021-08-08,Japan,Films,tt11107074,2,tt12735178,1,,,tt24079992,1,tt6402468,3,tt7665012,1,tt30858568,1,,,tt1386697,3,tt1560220,1
2021-08-08_Japan_TV,2021-08-08,Japan,TV,tt14518284,6,tt13196080,6,tt10850888,1,tt13814840,6,tt0479783,1,,,tt10850932,6,tt13433812,6,tt11239552,6,tt11769304,3
2021-08-08_Jordan_Films,2021-08-08,Jordan,Films,tt1025100,3,tt12808182,2,tt6402468,3,tt8561200,1,tt0145681,1,tt6232802,1,tt7238392,1,tt12929990,2,tt14366176,1,,
2021-08-08_Jordan_TV,2021-08-08,Jordan,TV,tt38960977,4,tt38960977,4,tt10293938,2,tt10293938,1,tt32270287,6,tt32270287,5,tt32270287,3,tt32270287,2,tt32270287,1,tt10839422,6
