country_name,country_iso2,week,category,weekly_rank,season_title,imdb_tconst
Argentina,AR,2023-11-05,Films,4,,tt15257160
Argentina,AR,2023-11-05,Films,5,,tt9902160
Argentina,AR,2023-11-05,Films,6,,tt10265034
Argentina,AR,2023-11-05,Films,7,,tt12519030
Argentina,AR,2023-11-05,Films,8,,tt19175696
Argentina,AR,2023-11-05,Films,9,,tt5302918
Argentina,AR,2023-11-05,Films,10,,tt26787296
Argentina,AR,2023-11-05,TV,1,1.0,tt15320362
Argentina,AR,2023-11-05,TV,2,1.0,tt29195231
Argentina,AR,2023-11-05,TV,4,1.0,tt18347622
Argentina,AR,2023-11-05,TV,5,3.0,tt2531336
Argentina,AR,2023-11-05,TV,6,1.0,tt23181388
Argentina,AR,2023-11-05,TV,7,3.0,tt15473010
Argentina,AR,2023-11-05,TV,8,1.0,tt15567174
Argentina,AR,2023-11-05,TV,10,1.0,tt27423738
Argentina,AR,2023-10-29,Films,3,,tt12753120
Argentina,AR,2023-10-29,Films,4,,tt26787296
Argentina,AR,2023-10-29,Films,5,,tt15257160
Argentina,AR,2023-10-29,Films,6,,tt18394190
Argentina,AR,2023-10-29,Films,7,,tt27571272
Argentina,AR,2023-10-29,Films,8,,tt21249656
Argentina,AR,2023-10-29,Films,9,,tt19175696
Argentina,AR,2023-10-29,TV,2,1.0,tt29195231
Argentina,AR,2023-10-29,TV,3,1.0,tt18347622
Argentina,AR,2023-10-29,TV,4,3.0,tt2531336
Argentina,AR,2023-10-29,TV,5,1.0,tt23181388
Argentina,AR,2023-10-29,TV,6,1.0,tt15567174
Argentina,AR,2023-10-29,TV,8,1.0,tt2531336
Argentina,AR,2023-10-29,TV,9,2.0,tt2531336
Argentina,AR,2023-10-29,TV,10,1.0,tt14524712
Argentina,AR,2023-10-22,Films,2,,tt26547864
Argentina,AR,2023-10-22,Films,4,,tt26596953
Argentina,AR,2023-10-22,Films,5,,tt13274016
Argentina,AR,2023-10-22,Films,6,,tt21249656
Argentina,AR,2023-10-22,Films,7,,tt15850662
Argentina,AR,2023-10-22,Films,8,,tt3580748
Argentina,AR,2023-10-22,Films,10,,tt28810493
Argentina,AR,2023-10-22,TV,1,1.0,tt29195231
Argentina,AR,2023-10-22,TV,2,3.0,tt2531336
Argentina,AR,2023-10-22,TV,3,1.0,tt15567174
Argentina,AR,2023-10-22,TV,5,1.0,tt18347622
Argentina,AR,2023-10-22,TV,6,1.0,tt2531336
Argentina,AR,2023-10-22,TV,7,2.0,tt2531336
Argentina,AR,2023-10-22,TV,9,1.0,tt14524712
Argentina,AR,2023-10-15,Films,1,,tt16304446
Argentina,AR,2023-10-15,Films,2,,tt26596953
Argentina,AR,2023-10-15,Films,3,,tt15789472
Argentina,AR,2023-10-15,Films,4,,tt13274016
Argentina,AR,2023-10-15,Films,5,,tt26350277
Argentina,AR,2023-10-15,Films,6,,tt3580748
Argentina,AR,2023-10-15,Films,7,,tt26547864
Argentina,AR,2023-10-15,Films,10,,tt2850386
Argentina,AR,2023-10-15,TV,1,3.0,tt2531336
Argentina,AR,2023-10-15,TV,2,1.0,tt29195231
Argentina,AR,2023-10-15,TV,3,1.0,tt2531336
Argentina,AR,2023-10-15,TV,4,2.0,tt2531336
Argentina,AR,2023-10-15,TV,6,1.0,tt15567174
Argentina,AR,2023-10-15,TV,7,1.0,tt14524712
Argentina,AR,2023-10-15,TV,8,1.0,tt20863760
Argentina,AR,2023-10-15,TV,9,2.0,tt20449034
Argentina,AR,2023-10-15,TV,10,1.0,tt22073352
Argentina,AR,2023-10-08,Films,1,,tt15789472
Argentina,AR,2023-10-08,Films,3,,tt26596953
Argentina,AR,2023-10-08,Films,4,,tt13274016
