week,category,weekly_rank,show_title,season_title,runtime,weekly_views,imdb_tconst
2023-12-10,TV (English),6,The Crown,The Crown: Season 6,3.3167,2500000.0,tt4786824
2023-12-10,TV (English),7,CoComelon Lane,CoComelon Lane: Season 1,3.9167,2400000.0,tt15040002
2023-12-10,TV (English),8,Virgin River,Virgin River: Season 5,9.2667,2200000.0,tt9077530
2023-12-10,TV (English),9,Young Sheldon,Young Sheldon: Season 1,7.2167,1900000.0,tt6226232
2023-12-10,TV (English),10,Young Sheldon,Young Sheldon: Season 2,7.1667,1400000.0,tt6226232
2023-12-10,TV (Non-English),1,Blood Coast,Blood Coast: Season 1,5.2833,5600000.0,tt28129282
2023-12-10,TV (Non-English),2,A Nearly Normal Family,A Nearly Normal Family: Limited Series,4.5333,5400000.0,tt22780536
2023-12-10,TV (Non-English),3,My Demon,My Demon: Season 1,0.0,4900000.0,tt29569035
2023-12-10,TV (Non-English),4,Sweet Home,Sweet Home: Season 2,9.5167,3900000.0,tt11612120
2023-12-10,TV (Non-English),6,Criminal Code,Criminal Code: Season 1,7.7667,2000000.0,tt22459586
2023-12-10,TV (Non-English),7,Sweet Home,Sweet Home: Season 1,8.6,1900000.0,tt11612120
2023-12-10,TV (Non-English),8,Castaway Diva,Castaway Diva: Limited Series,0.0,1200000.0,tt28348835
2023-12-10,TV (Non-English),9,I Hate Christmas,I Hate Christmas: Season 2,3.3,1100000.0,tt23556972
2023-12-10,TV (Non-English),10,High Tides,High Tides: Season 1,5.7667,1100000.0,tt21093806
2023-12-03,Films (English),1,Leo,,1.7833,23600000.0,tt15654328
2023-12-03,Films (English),2,Family Switch,,1.7667,22200000.0,tt14227048
2023-12-03,Films (English),3,Best. Christmas. Ever!,,1.3667,7000000.0,tt7038762
2023-12-03,Films (English),5,Sonic the Hedgehog 2,,2.0667,4000000.0,tt12412888
2023-12-03,Films (English),6,The Silencing,,1.5667,3700000.0,tt7149730
2023-12-03,Films (English),7,The Killer,,2.0,3600000.0,tt1136617
2023-12-03,Films (English),9,The Super Mario Bros. Movie,,1.5333,3100000.0,tt6718170
2023-12-03,Films (English),10,The Christmas Chronicles,,1.75,3000000.0,tt2990140
2023-12-03,Films (Non-English),1,Last Call for Istanbul,,1.5167,8800000.0,tt23334616
2023-12-03,Films (Non-English),2,Crime Diaries: The Celebrity Stylist,,1.1833,3500000.0,tt29692772
2023-12-03,Films (Non-English),5,Mission Raniganj: The Great Bharat Rescue,,2.25,2400000.0,tt21262240
2023-12-03,Films (Non-English),6,Elena Knows,,1.6833,2400000.0,tt28081899
2023-12-03,Films (Non-English),7,All-Time High,,1.7167,2000000.0,tt27921620
2023-12-03,Films (Non-English),8,Believer 2,,1.9333,1800000.0,tt26258204
2023-12-03,Films (Non-English),9,Women on the Edge,,1.5833,1700000.0,tt2065946
2023-12-03,TV (English),1,Squid Game: The Challenge,Squid Game: The Challenge: Season 1,7.4333,11400000.0,tt28104766
2023-12-03,TV (English),2,Bad Surgeon: Love Under the Knife,Bad Surgeon: Love Under the Knife: Season 1,2.6667,7400000.0,tt28197236
2023-12-03,TV (English),3,Obliterated,Obliterated: Season 1,6.8333,7000000.0,tt11097240
2023-12-03,TV (English),4,The Crown,The Crown: Season 6,3.3167,3900000.0,tt4786824
2023-12-03,TV (English),5,CoComelon Lane,CoComelon Lane: Season 1,3.9167,2800000.0,tt15040002
2023-12-03,TV (English),6,Virgin River,Virgin River: Season 5,9.2667,2700000.0,tt9077530
2023-12-03,TV (English),7,Young Sheldon,Young Sheldon: Season 1,7.2167,2700000.0,tt6226232
2023-12-03,TV (English),8,All the Light We Cannot See,All the Light We Cannot See: Limited Series,3.8333,2000000.0,tt15320362
2023-12-03,TV (English),9,Young Sheldon,Young Sheldon: Season 2,7.1667,1700000.0,tt6226232
2023-12-03,TV (English),10,First Wives Club,First Wives Club: Season 1,3.9833,1500000.0,tt7546362
2023-12-03,TV (Non-English),1,A Nearly Normal Family,A Nearly Normal Family: Limited Series,4.5333,10500000.0,tt22780536
2023-12-03,TV (Non-English),2,My Demon,My Demon: Season 1,0.0,5400000.0,tt29569035
2023-12-03,TV (Non-English),3,Criminal Code,Criminal Code: Season 1,7.7667,3500000.0,tt22459586
2023-12-03,TV (Non-English),4,Sweet Home,Sweet Home: Season 2,9.5167,2500000.0,tt11612120
2023-12-03,TV (Non-English),6,Nothing to See Here,Nothing to See Here: Season 1,3.3833,1900000.0,tt27787856
2023-12-03,TV (Non-English),7,Squid Game,Squid Game: Season 1,8.3167,1500000.0,tt10919420
2023-12-03,TV (Non-English),8,Castaway Diva,Castaway Diva: Limited Series,0.0,1400000.0,tt28348835
2023-12-03,TV (Non-English),9,Replacing Chef Chico,Replacing Chef Chico: Season 1,4.5333,1300000.0,tt27055592
2023-12-03,TV (Non-English),10,Strong Girl Nam-soon,Strong Girl Nam-soon: Limited Series,16.95,1200000.0,tt29225198
2023-11-26,Films (English),1,Leo,,1.7833,34600000.0,tt15654328
2023-11-26,Films (English),2,Best. Christmas. Ever!,,1.3667,13300000.0,tt7038762
2023-11-26,Films (English),3,The Killer,,2.0,8800000.0,tt1136617
2023-11-26,Films (English),4,See You on Venus,,1.5833,7100000.0,tt14960612
2023-11-26,Films (English),5,Jules,,1.45,4600000.0,tt15428940
2023-11-26,Films (English),6,Triple Frontier,,2.1,3600000.0,tt1488606
2023-11-26,Films (English),7,The Christmas Chronicles,,1.75,3400000.0,tt2990140
2023-11-26,Films (English),9,Lone Survivor,,2.0167,2700000.0,tt1091191
2023-11-26,Films (English),10,Falling for Christmas,,1.5833,2700000.0,tt14715170
2023-11-26,Films (Non-English),1,Last Call for Istanbul,,1.5167,10700000.0,tt23334616
2023-11-26,Films (Non-English),2,Believer 2,,1.9333,6400000.0,tt26258204
2023-11-26,Films (Non-English),3,All-Time High,,1.7167,5100000.0,tt27921620
2023-11-26,Films (Non-English),4,Crime Diaries: The Celebrity Stylist,,1.1833,4200000.0,tt29692772
2023-11-26,Films (Non-English),5,Sukhee,,2.3,2300000.0,tt18266472
2023-11-26,Films (Non-English),7,Wingwomen,,1.9333,1900000.0,tt21638298
2023-11-26,Films (Non-English),9,Elena Knows,,1.6833,1600000.0,tt28081899
2023-11-26,Films (Non-English),10,The Queenstown Kings,,2.2833,1600000.0,tt21448346
2023-11-26,TV (English),1,Squid Game: The Challenge,Squid Game: The Challenge: Season 1,4.2667,20100000.0,tt28104766
2023-11-26,TV (English),2,The Crown,The Crown: Season 6,3.3167,8800000.0,tt4786824
2023-11-26,TV (English),3,CoComelon Lane,CoComelon Lane: Season 1,3.9167,3400000.0,tt15040002
2023-11-26,TV (English),4,All the Light We Cannot See,All the Light We Cannot See: Limited Series,3.8333,3300000.0,tt15320362
2023-11-26,TV (English),6,Young Sheldon,Young Sheldon: Season 1,7.2167,2100000.0,tt6226232
2023-11-26,TV (English),7,Scott Pilgrim Takes Off,Scott Pilgrim Takes Off: Season 1,3.6833,2000000.0,tt16969708
2023-11-26,TV (English),8,First Wives Club,First Wives Club: Season 1,3.9833,1700000.0,tt7546362
2023-11-26,TV (English),9,Escaping Twin Flames,Escaping Twin Flames: Season 1,2.9167,1600000.0,tt29388212
2023-11-26,TV (Non-English),1,A Nearly Normal Family,A Nearly Normal Family: Limited Series,4.5333,6400000.0,tt22780536
2023-11-26,TV (Non-English),2,Criminal Code,Criminal Code: Season 1,7.7667,5300000.0,tt22459586
2023-11-26,TV (Non-English),4,My Demon,My Demon: Season 1,2.2,3000000.0,tt29569035
2023-11-26,TV (Non-English),5,Nothing to See Here,Nothing to See Here: Season 1,3.3833,2400000.0,tt27787856
2023-11-26,TV (Non-English),6,Squid Game,Squid Game: Season 1,8.3167,1600000.0,tt10919420
2023-11-26,TV (Non-English),7,Castaway Diva,Castaway Diva: Limited Series,0.0,1600000.0,tt28348835
2023-11-26,TV (Non-English),8,Strong Girl Nam-soon,Strong Girl Nam-soon: Limited Series,0.0,1500000.0,tt29225198
2023-11-26,TV (Non-English),9,Holy Family,Holy Family: Season 2,5.3833,1400000.0,tt15576994
2023-11-26,TV (Non-English),10,Suburræterna,Suburræterna: Season 1,6.0333,1200000.0,tt28019928
2023-11-19,Films (English),1,The Killer,,2.0,22300000.0,tt1136617
2023-11-19,Films (English),2,Best. Christmas. Ever!,,1.3667,16300000.0,tt7038762
2023-11-19,Films (English),3,Monster Hunter,,1.7167,6100000.0,tt6475714
2023-11-19,Films (English),4,Locked In,,1.6167,5100000.0,tt24870072
2023-11-19,Films (English),5,F9: The Fast Saga,,2.3833,4300000.0,tt5433138
2023-11-19,Films (English),6,Lone Survivor,,2.0167,4000000.0,tt1091191
