week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,imdb_tconst
2023-12-10,Films (Non-English),8,Concrete Utopia,,3100000,2.1667,1400000.0,1,False,tt13086266
2023-12-10,Films (Non-English),9,Hard Days,,2500000,1.9667,1300000.0,1,False,tt26594589
2023-12-10,Films (Non-English),10,Blood Vessel,,2400000,1.9833,1200000.0,1,False,tt30096240
2023-12-10,TV (English),1,Obliterated,Obliterated: Season 1,61500000,6.8333,9000000.0,2,False,tt11097240
2023-12-10,TV (English),2,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,57400000,7.6167,7500000.0,1,False,tt8323628
2023-12-10,TV (English),3,Squid Game: The Challenge,Squid Game: The Challenge: Season 1,54100000,8.1667,6600000.0,3,False,tt28104766
2023-12-10,TV (English),4,Bad Surgeon: Love Under the Knife,Bad Surgeon: Love Under the Knife: Season 1,13300000,2.6667,5000000.0,2,False,tt28197236
2023-12-10,TV (English),5,World War II: From the Frontlines,World War II: From the Frontlines: Season 1,20300000,4.85,4200000.0,1,False,tt28756878
2023-12-10,TV (English),6,The Crown,The Crown: Season 6,8200000,3.3167,2500000.0,4,False,tt4786824
2023-12-10,TV (English),7,CoComelon Lane,CoComelon Lane: Season 1,9500000,3.9167,2400000.0,3,False,tt15040002
2023-12-10,TV (English),8,Virgin River,Virgin River: Season 5,20300000,9.2667,2200000.0,8,False,tt9077530
2023-12-10,TV (English),9,Young Sheldon,Young Sheldon: Season 1,13900000,7.2167,1900000.0,3,False,tt6226232
2023-12-10,TV (English),10,Young Sheldon,Young Sheldon: Season 2,10300000,7.1667,1400000.0,2,False,tt6226232
2023-12-10,TV (Non-English),1,Blood Coast,Blood Coast: Season 1,29400000,5.2833,5600000.0,1,False,tt28129282
2023-12-10,TV (Non-English),2,A Nearly Normal Family,A Nearly Normal Family: Limited Series,24500000,4.5333,5400000.0,3,False,tt22780536
2023-12-10,TV (Non-English),3,My Demon,My Demon: Season 1,28000000,0.0,4900000.0,3,True,tt29569035
2023-12-10,TV (Non-English),4,Sweet Home,Sweet Home: Season 2,37100000,9.5167,3900000.0,2,False,tt11612120
2023-12-10,TV (Non-English),6,Criminal Code,Criminal Code: Season 1,15300000,7.7667,2000000.0,4,False,tt22459586
2023-12-10,TV (Non-English),7,Sweet Home,Sweet Home: Season 1,16600000,8.6,1900000.0,1,False,tt11612120
2023-12-10,TV (Non-English),8,Castaway Diva,Castaway Diva: Limited Series,16600000,0.0,1200000.0,6,True,tt28348835
2023-12-10,TV (Non-English),9,I Hate Christmas,I Hate Christmas: Season 2,3700000,3.3,1100000.0,1,False,tt23556972
2023-12-10,TV (Non-English),10,High Tides,High Tides: Season 1,6400000,5.7667,1100000.0,1,False,tt21093806
2023-12-03,Films (English),1,Leo,,42100000,1.7833,23600000.0,2,False,tt2320142
2023-12-03,Films (English),2,Family Switch,,39200000,1.7667,22200000.0,1,False,tt14227048
2023-12-03,Films (English),3,Best. Christmas. Ever!,,9600000,1.3667,7000000.0,3,False,tt7038762
2023-12-03,Films (English),5,Sonic the Hedgehog 2,,8200000,2.0667,4000000.0,1,False,tt12412888
2023-12-03,Films (English),6,The Silencing,,5800000,1.5667,3700000.0,1,False,tt7149730
2023-12-03,Films (English),7,The Killer,,7100000,2.0,3600000.0,4,False,tt1136617
2023-12-03,Films (English),9,The Super Mario Bros. Movie,,4800000,1.5333,3100000.0,1,False,tt6718170
2023-12-03,Films (English),10,The Christmas Chronicles,,5300000,1.75,3000000.0,7,False,tt2990140
2023-12-03,Films (Non-English),1,Last Call for Istanbul,,13300000,1.5167,8800000.0,2,False,tt23334616
2023-12-03,Films (Non-English),2,Crime Diaries: The Celebrity Stylist,,4100000,1.1833,3500000.0,2,False,tt29692772
2023-12-03,Films (Non-English),5,Mission Raniganj: The Great Bharat Rescue,,5500000,2.25,2400000.0,1,False,tt21262240
2023-12-03,Films (Non-English),6,Elena Knows,,4000000,1.6833,2400000.0,2,False,tt28081899
2023-12-03,Films (Non-English),7,All-Time High,,3400000,1.7167,2000000.0,3,False,tt27921620
2023-12-03,Films (Non-English),8,Believer 2,,3400000,1.9333,1800000.0,3,False,tt26258204
2023-12-03,Films (Non-English),9,Women on the Edge,,2700000,1.5833,1700000.0,1,False,tt2065946
2023-12-03,TV (English),1,Squid Game: The Challenge,Squid Game: The Challenge: Season 1,85000000,7.4333,11400000.0,2,False,tt28104766
2023-12-03,TV (English),2,Bad Surgeon: Love Under the Knife,Bad Surgeon: Love Under the Knife: Season 1,19800000,2.6667,7400000.0,1,False,tt28197236
2023-12-03,TV (English),3,Obliterated,Obliterated: Season 1,47600000,6.8333,7000000.0,1,False,tt11097240
2023-12-03,TV (English),4,The Crown,The Crown: Season 6,13100000,3.3167,3900000.0,3,False,tt4786824
2023-12-03,TV (English),5,CoComelon Lane,CoComelon Lane: Season 1,11000000,3.9167,2800000.0,2,False,tt15040002
2023-12-03,TV (English),6,Virgin River,Virgin River: Season 5,25300000,9.2667,2700000.0,7,False,tt9077530
2023-12-03,TV (English),7,Young Sheldon,Young Sheldon: Season 1,19300000,7.2167,2700000.0,2,False,tt6226232
2023-12-03,TV (English),8,All the Light We Cannot See,All the Light We Cannot See: Limited Series,7600000,3.8333,2000000.0,5,False,tt15320362
2023-12-03,TV (English),9,Young Sheldon,Young Sheldon: Season 2,12100000,7.1667,1700000.0,1,False,tt6226232
2023-12-03,TV (English),10,First Wives Club,First Wives Club: Season 1,5800000,3.9833,1500000.0,2,False,tt7546362
2023-12-03,TV (Non-English),1,A Nearly Normal Family,A Nearly Normal Family: Limited Series,47700000,4.5333,10500000.0,2,False,tt22780536
2023-12-03,TV (Non-English),2,My Demon,My Demon: Season 1,19700000,0.0,5400000.0,2,True,tt29569035
2023-12-03,TV (Non-English),3,Criminal Code,Criminal Code: Season 1,27100000,7.7667,3500000.0,3,False,tt22459586
2023-12-03,TV (Non-English),4,Sweet Home,Sweet Home: Season 2,23700000,9.5167,2500000.0,1,False,tt11612120
2023-12-03,TV (Non-English),6,Nothing to See Here,Nothing to See Here: Season 1,6500000,3.3833,1900000.0,2,False,tt27787856
2023-12-03,TV (Non-English),7,Squid Game,Squid Game: Season 1,12700000,8.3167,1500000.0,22,False,tt10919420
2023-12-03,TV (Non-English),8,Castaway Diva,Castaway Diva: Limited Series,18500000,0.0,1400000.0,5,True,tt28348835
2023-12-03,TV (Non-English),9,Replacing Chef Chico,Replacing Chef Chico: Season 1,6100000,4.5333,1300000.0,1,False,tt27055592
2023-12-03,TV (Non-English),10,Strong Girl Nam-soon,Strong Girl Nam-soon: Limited Series,19600000,16.95,1200000.0,9,False,tt29225198
2023-11-26,Films (English),1,Leo,,61700000,1.7833,34600000.0,1,False,tt2320142
2023-11-26,Films (English),2,Best. Christmas. Ever!,,18200000,1.3667,13300000.0,2,False,tt7038762
2023-11-26,Films (English),3,The Killer,,17500000,2.0,8800000.0,3,False,tt1136617
