tconst	averageRating	numVotes
tt0021027	5.4	82
tt0021128	5.7	1122
tt0021149	5.7	683
tt0021153	6.6	1591
tt0021219	6.3	127
tt0021282	5.4	594
tt0021287	5.4	534
tt0021292	5.6	571
tt0021456	7.9	351
tt0021504	6.1	62
tt0021515	4.3	53
tt0021543	6.9	62
tt0021571	7.2	6908
tt0021599	4.3	233
tt0021602	6.6	40
tt0021611	6.8	87
tt0021634	6.2	161
tt0021693	6.3	89
tt0021798	6.2	311
tt0021853	6.4	52
tt0021914	6.8	45
tt0022002	5.8	372
tt0022190	5.5	32
tt0022211	5.6	164
tt0022215	6.9	277
tt0022216	6.4	22
tt0022231	5.7	392
tt0022273	6.3	315
tt0022276	6.9	2528
tt0022296	5.6	171
tt0022301	6.3	107
tt0022307	5.8	30
tt0022384	6.3	84
tt0022400	6.8	58
tt0022408	5.3	20
tt0022500	6.1	322
tt0022520	6.6	86
tt0022559	6.1	67
tt0022747	5.1	14
tt0022750	6.5	26
tt0022837	7.1	78
tt0022951	5.5	67
tt0023006	7.4	62
tt0023064	4.6	171
tt0023119	5.8	197
tt0023245	6.9	33051
tt0023343	6.3	49
tt0023359	7.0	110
tt0023381	5.0	91
tt0023404	6.1	58
tt0023427	7.7	33116
tt0023460	5.6	287
tt0023518	6.6	19
tt0023535	7.2	52
tt0023576	5.6	174
tt0023652	5.6	476
tt0023663	6.5	101
tt0023679	7.0	42
tt0023743	6.6	21
tt0023746	6.7	29
tt0023753	6.3	2966
tt0023825	7.1	3389
tt0024136	6.9	48
tt0024184	7.6	43763
tt0024216	7.9	95409
tt0024250	6.5	33
tt0024264	7.1	8490
tt0024298	6.3	160
tt0024353	6.4	3549
tt0024405	5.1	452
tt0024490	6.1	25
tt0024636	6.5	48
tt0024663	5.2	546
tt0024694	7.0	55
tt0024819	6.2	589
tt0024830	7.3	495
tt0024866	5.5	332
tt0024868	6.0	374
tt0025004	7.3	3736
tt0025133	5.7	140
tt0025189	6.7	329
tt0025285	6.1	58
tt0025323	4.4	462
tt0025329	6.4	267
tt0025442	6.6	583
tt0025488	7.6	1611
tt0025499	5.6	1415
tt0025504	6.6	27
tt0025509	8.3	2201
tt0025617	6.5	1852
tt0025626	5.7	12
tt0025696	5.3	48
tt0026065	6.8	152
tt0026071	7.0	6187
tt0026129	6.6	2104
tt0026164	6.8	2851
tt0026216	4.9	347
tt0026261	6.8	3995
tt0026484	6.4	60
tt0026486	6.3	254
tt0026529	7.3	7800
tt0026637	6.2	94
tt0026657	6.5	66
tt0026663	7.2	6412
tt0026718	5.2	135
tt0026725	7.6	4190
