week,at_rank1,views_at_rank1,at_rank2,views_at_rank2,at_rank3,views_at_rank3,at_rank4,views_at_rank4,at_rank5,views_at_rank5,at_rank6,views_at_rank6,at_rank7,views_at_rank7,at_rank8,views_at_rank8,at_rank9,views_at_rank9,at_rank10,views_at_rank10
2023-06-04,tt14494938,"[76310000.0, nan, 1.0]",tt27075857,"[29350000.0, nan, 6.0]",tt27042206,"[22810000.0, nan, 5.0]",tt20477492,"[18040000.0, nan, 3.0]",tt0413559,"[16980000.0, nan, 1.0]",tt1704637,"[12400000.0, nan, 14.0]",tt1776006,"[12050000.0, nan, 1.0]",tt0259816,"[9540000.0, nan, 1.0]",,,tt13853748,"[7100000.0, nan, 1.0]"
2023-05-28,tt0287067,"[34690000.0, nan, 3.0]",tt5616176,"[19280000.0, nan, 1.0]",tt0009382,"[15930000.0, nan, 2.0]",tt0068587,"[7940000.0, nan, 1.0]",tt0056492,"[7690000.0, nan, 2.0]",tt24079788,"[6600000.0, nan, 1.0]",tt0159787,"[5750000.0, nan, 2.0]",tt16951452,"[5550000.0, nan, 2.0]",tt3874544,"[5450000.0, nan, 5.0]",tt7405458,"[5350000.0, nan, 4.0]"
2023-05-28,tt0081186,"[24250000.0, nan, 1.0]",tt18073328,"[13830000.0, nan, 1.0]",tt7354440,"[12700000.0, nan, 1.0]",tt0114082,"[12310000.0, nan, 2.0]",tt0082500,"[10890000.0, nan, 1.0]",tt22185848,"[7400000.0, nan, 3.0]",tt21735972,"[6920000.0, nan, 1.0]",,,tt15411160,"[5190000.0, nan, 1.0]",,
2023-05-28,tt13064902,"[88940000.0, nan, 1.0]",tt14490706,"[63780000.0, nan, 2.0]",tt14661396,"[42900000.0, nan, 4.0]",tt9817298,"[33350000.0, nan, 2.0]",tt0072560,"[20230000.0, nan, 1.0]",tt7414406,"[18050000.0, nan, 1.0]",tt9012876,"[16110000.0, nan, 10.0]",tt11337908,"[13960000.0, nan, 14.0]",tt13918776,"[12650000.0, nan, 10.0]",tt8740790,"[12540000.0, nan, 14.0]"
2023-05-28,tt20477492,"[46520000.0, nan, 2.0]",tt27075857,"[26370000.0, nan, 5.0]",tt27042206,"[19630000.0, nan, 4.0]",tt1704637,"[14130000.0, nan, 13.0]",tt17013106,"[13070000.0, nan, 3.0]",,,tt18974572,"[7520000.0, nan, 6.0]",tt20192132,"[6920000.0, nan, 1.0]",tt18974572,"[5960000.0, nan, 13.0]",tt0154063,"[5280000.0, nan, 10.0]"
2023-05-21,tt0287067,"[94420000.0, nan, 2.0]",tt16951452,"[15650000.0, nan, 1.0]",tt0159787,"[11210000.0, nan, 1.0]",tt7405458,"[10640000.0, nan, 3.0]",tt9016974,"[6990000.0, nan, 2.0]",tt0009382,"[5220000.0, nan, 1.0]",tt0241527,"[4790000.0, nan, 1.0]",tt0481499,"[4280000.0, nan, 5.0]",tt1946502,"[3820000.0, nan, 1.0]",tt0026637,"[3330000.0, nan, 1.0]"
2023-05-21,tt0114082,"[29060000.0, nan, 1.0]",tt22185848,"[20340000.0, nan, 2.0]",,,tt0317052,"[9120000.0, nan, 4.0]",,,tt22488414,"[4900000.0, nan, 2.0]",,,tt8672856,"[2890000.0, nan, 3.0]",,,tt23489688,"[1810000.0, nan, 1.0]"
2023-05-21,tt14661396,"[82390000.0, nan, 3.0]",tt14490706,"[72080000.0, nan, 1.0]",tt9012876,"[23140000.0, nan, 9.0]",tt9817298,"[22780000.0, nan, 1.0]",tt27599123,"[20850000.0, nan, 1.0]",tt8740790,"[19460000.0, nan, 8.0]",tt8740790,"[18170000.0, nan, 13.0]",tt13918776,"[16800000.0, nan, 9.0]",tt12809988,"[16660000.0, nan, 4.0]",tt27612322,"[15290000.0, nan, 2.0]"
2023-05-21,tt17013106,"[35110000.0, nan, 2.0]",tt20477492,"[35100000.0, nan, 1.0]",tt27075857,"[23130000.0, nan, 4.0]",tt27042206,"[15370000.0, nan, 3.0]",tt18974572,"[10910000.0, nan, 5.0]",tt15473010,"[8940000.0, nan, 3.0]",tt1704637,"[8910000.0, nan, 12.0]",tt18974572,"[8630000.0, nan, 12.0]",,,tt13457822,"[6380000.0, nan, 5.0]"
2023-05-14,tt0287067,"[83710000.0, nan, 1.0]",tt7405458,"[19880000.0, nan, 2.0]",tt0481499,"[8700000.0, nan, 4.0]",tt0120646,"[6420000.0, nan, 2.0]",tt9016974,"[5930000.0, nan, 1.0]",tt2267968,"[5750000.0, nan, 3.0]",tt15837458,"[5580000.0, nan, 2.0]",tt0019486,"[4880000.0, nan, 2.0]",tt1981677,"[4580000.0, nan, 2.0]",tt0068688,"[4520000.0, nan, 2.0]"
2023-05-14,tt22185848,"[19460000.0, nan, 1.0]",tt0317052,"[16660000.0, nan, 3.0]",,,tt8672856,"[6170000.0, nan, 2.0]",tt22488414,"[6080000.0, nan, 1.0]",tt0061042,"[2620000.0, nan, 6.0]",tt21736218,"[1460000.0, nan, 5.0]",tt25406060,"[1380000.0, nan, 1.0]",tt0020629,"[1280000.0, nan, 23.0]",tt16900880,"[1210000.0, nan, 7.0]"
2023-05-14,tt14661396,"[158680000.0, nan, 2.0]",tt9012876,"[31900000.0, nan, 8.0]",tt12809988,"[27610000.0, nan, 3.0]",tt27612322,"[23950000.0, nan, 1.0]",tt8740790,"[23880000.0, nan, 7.0]",tt13918776,"[20340000.0, nan, 8.0]",tt27528139,"[20180000.0, nan, 1.0]",tt13944906,"[18370000.0, nan, 4.0]",tt8740790,"[17250000.0, nan, 12.0]",tt12809988,"[11010000.0, nan, 5.0]"
2023-05-14,tt17013106,"[31220000.0, nan, 1.0]",tt27075857,"[19780000.0, nan, 3.0]",tt15473010,"[15820000.0, nan, 2.0]",tt18974572,"[15070000.0, nan, 4.0]",tt27042206,"[12210000.0, nan, 2.0]",tt0161188,"[11250000.0, nan, 2.0]",tt18974572,"[10510000.0, nan, 11.0]",tt13457822,"[9670000.0, nan, 4.0]",,,tt24948454,"[6840000.0, nan, 3.0]"
2023-05-07,tt7405458,"[13480000.0, nan, 1.0]",tt1981677,"[11440000.0, nan, 1.0]",tt0120646,"[10200000.0, nan, 1.0]",tt15837458,"[9690000.0, nan, 1.0]",tt1578275,"[6830000.0, nan, 1.0]",tt0481499,"[6560000.0, nan, 3.0]",tt0019486,"[6520000.0, nan, 1.0]",tt20115096,"[6200000.0, nan, 3.0]",tt8332922,"[5750000.0, nan, 2.0]",tt0069752,"[5070000.0, nan, 1.0]"
2023-05-07,tt0317052,"[49320000.0, nan, 2.0]",tt8672856,"[11350000.0, nan, 1.0]",tt0061042,"[5580000.0, nan, 5.0]",tt12858434,"[4840000.0, nan, 2.0]",tt0254703,"[2460000.0, nan, 1.0]",tt6708668,"[2180000.0, nan, 9.0]",tt18353064,"[2110000.0, nan, 3.0]",tt21736218,"[1910000.0, nan, 4.0]",tt16900880,"[1880000.0, nan, 6.0]",tt0250727,"[1600000.0, nan, 4.0]"
2023-05-07,tt14661396,"[148280000.0, nan, 1.0]",tt12809988,"[60470000.0, nan, 2.0]",tt9012876,"[54320000.0, nan, 7.0]",tt13944906,"[31150000.0, nan, 3.0]",tt13918776,"[26880000.0, nan, 7.0]",tt12809988,"[25180000.0, nan, 4.0]",tt9012876,"[16500000.0, nan, 3.0]",tt6143796,"[15110000.0, nan, 2.0]",tt14403178,"[14790000.0, nan, 5.0]",tt0081933,"[9220000.0, nan, 1.0]"
2023-05-07,tt15473010,"[26140000.0, nan, 1.0]",tt18974572,"[25680000.0, nan, 3.0]",tt24948454,"[21580000.0, nan, 2.0]",tt13457822,"[17900000.0, nan, 3.0]",tt18974572,"[15740000.0, nan, 10.0]",tt27075857,"[15680000.0, nan, 2.0]",tt26350158,"[12660000.0, nan, 4.0]",tt15469192,"[12060000.0, nan, 3.0]",tt27042206,"[9170000.0, nan, 1.0]",tt0161188,"[9000000.0, nan, 1.0]"
2023-04-30,tt20115096,"[20920000.0, nan, 2.0]",tt12193804,"[10200000.0, nan, 2.0]",tt15767808,"[8340000.0, nan, 3.0]",tt9340860,"[7240000.0, nan, 2.0]",tt15255288,"[6150000.0, nan, 5.0]",tt6467266,"[4500000.0, nan, 9.0]",tt12279814,"[4300000.0, nan, 4.0]",,,tt11457750,"[3700000.0, nan, 1.0]",tt11832046,"[3300000.0, nan, 3.0]"
2023-04-30,tt0317052,"[32530000.0, nan, 1.0]",tt18353064,"[10640000.0, nan, 2.0]",tt0061042,"[8020000.0, nan, 4.0]",tt12858434,"[6570000.0, nan, 1.0]",tt0066183,"[5700000.0, nan, 2.0]",tt13984120,"[3860000.0, nan, 1.0]",tt21736218,"[3490000.0, nan, 3.0]",tt0250727,"[3100000.0, nan, 3.0]",tt16900880,"[2610000.0, nan, 5.0]",tt0087909,"[1640000.0, nan, 3.0]"
2023-04-30,tt13944906,"[66460000.0, nan, 2.0]",tt12809988,"[48340000.0, nan, 1.0]",tt9012876,"[43490000.0, nan, 6.0]",tt13918776,"[37680000.0, nan, 6.0]",tt14403178,"[24480000.0, nan, 4.0]",tt12809988,"[19230000.0, nan, 3.0]",tt6143796,"[18190000.0, nan, 1.0]",tt3032476,"[13960000.0, nan, 2.0]",tt11704040,"[12080000.0, nan, 6.0]",tt12580168,"[11410000.0, nan, 1.0]"
2023-04-30,tt18974572,"[46310000.0, nan, 2.0]",tt13457822,"[37540000.0, nan, 2.0]",tt15469192,"[28690000.0, nan, 2.0]",tt24948454,"[28630000.0, nan, 1.0]",tt18974572,"[28310000.0, nan, 9.0]",tt26350158,"[23770000.0, nan, 3.0]",tt13457822,"[15660000.0, nan, 7.0]",tt27075857,"[11280000.0, nan, 1.0]",tt21344706,"[7680000.0, nan, 13.0]",tt18280522,"[6800000.0, nan, 1.0]"
2023-04-23,tt15767808,"[25700000.0, nan, 2.0]",tt9340860,"[14110000.0, nan, 1.0]",tt20115096,"[13400000.0, nan, 1.0]",tt15255288,"[8390000.0, nan, 4.0]",tt12279814,"[8030000.0, nan, 3.0]",tt1543053,"[7170000.0, nan, 1.0]",tt12193804,"[6700000.0, nan, 1.0]",tt23219684,"[6550000.0, nan, 1.0]",tt5433138,"[6540000.0, nan, 1.0]",,
2023-04-23,tt21736218,"[14680000.0, nan, 2.0]",tt0061042,"[14080000.0, nan, 3.0]",tt0250727,"[9160000.0, nan, 2.0]",tt0087909,"[7160000.0, nan, 2.0]",tt18353064,"[5500000.0, nan, 1.0]",tt0066183,"[3890000.0, nan, 1.0]",tt16900880,"[3720000.0, nan, 4.0]",,,,,tt0020629,"[1340000.0, nan, 22.0]"
2023-04-23,tt13944906,"[57480000.0, nan, 1.0]",tt13918776,"[56650000.0, nan, 5.0]",tt14403178,"[42810000.0, nan, 3.0]",tt11704040,"[39480000.0, nan, 5.0]",tt10370722,"[29500000.0, nan, 2.0]",tt18831118,"[27120000.0, nan, 2.0]",tt3032476,"[14790000.0, nan, 1.0]",tt27206017,"[14580000.0, nan, 1.0]",tt27142031,"[13190000.0, nan, 2.0]",tt13443470,"[9500000.0, nan, 20.0]"
2023-04-23,tt18974572,"[52310000.0, nan, 1.0]",tt26350158,"[47180000.0, nan, 2.0]",tt18974572,"[26750000.0, nan, 8.0]",tt13457822,"[20620000.0, nan, 1.0]",tt15469192,"[11600000.0, nan, 1.0]",tt21344706,"[9160000.0, nan, 12.0]",tt13457822,"[6350000.0, nan, 6.0]",,,tt20859920,"[5800000.0, nan, 21.0]",tt0154063,"[5770000.0, nan, 9.0]"
2023-04-16,tt15767808,"[35500000.0, nan, 1.0]",tt12279814,"[27290000.0, nan, 2.0]",tt15255288,"[16930000.0, nan, 3.0]",tt6587640,"[9360000.0, nan, 1.0]",tt10175340,"[8380000.0, nan, 3.0]",tt0030346,"[8180000.0, nan, 1.0]",tt0005504,"[8070000.0, nan, 2.0]",tt0077917,"[6910000.0, nan, 2.0]",tt1618434,"[6690000.0, nan, 4.0]",,
2023-04-16,tt0061042,"[43580000.0, nan, 2.0]",tt21736218,"[11360000.0, nan, 1.0]",tt16900880,"[8640000.0, nan, 3.0]",tt0250727,"[6700000.0, nan, 1.0]",tt0087909,"[4870000.0, nan, 1.0]",tt20567314,"[3210000.0, nan, 2.0]",tt22297828,"[1790000.0, nan, 4.0]",tt5993456,"[1760000.0, nan, 1.0]",tt0020629,"[1660000.0, nan, 21.0]",,
2023-04-16,tt13918776,"[90040000.0, nan, 4.0]",tt14403178,"[70380000.0, nan, 2.0]",tt11704040,"[41330000.0, nan, 4.0]",tt18831118,"[40890000.0, nan, 1.0]",tt10370722,"[26190000.0, nan, 1.0]",tt27142031,"[23370000.0, nan, 1.0]",tt15441266,"[17390000.0, nan, 2.0]",tt5296406,"[13110000.0, nan, 2.0]",tt2403776,"[11620000.0, nan, 5.0]",tt13443470,"[10890000.0, nan, 19.0]"
2023-04-16,tt26350158,"[15870000.0, nan, 1.0]",tt0069644,"[14780000.0, nan, 2.0]",tt21344706,"[12900000.0, nan, 11.0]",tt26225090,"[10390000.0, nan, 3.0]",tt18382028,"[8220000.0, nan, 2.0]",tt24578016,"[6600000.0, nan, 11.0]",tt16163746,"[6560000.0, nan, 4.0]",,,tt20859920,"[5850000.0, nan, 20.0]",tt0154063,"[5670000.0, nan, 8.0]"
2023-04-09,tt15255288,"[59840000.0, nan, 2.0]",tt12279814,"[25310000.0, nan, 1.0]",tt1618434,"[22250000.0, nan, 3.0]",tt10175340,"[13500000.0, nan, 2.0]",tt0005504,"[10350000.0, nan, 1.0]",tt1194173,"[9110000.0, nan, 2.0]",tt0307453,"[8050000.0, nan, 1.0]",tt0327084,"[7940000.0, nan, 1.0]",tt3155298,"[7530000.0, nan, 5.0]",tt0077917,"[7420000.0, nan, 1.0]"
2023-04-09,tt16900880,"[25710000.0, nan, 2.0]",tt0061042,"[11230000.0, nan, 1.0]",,,tt22297828,"[4210000.0, nan, 3.0]",tt15175188,"[3500000.0, nan, 2.0]",tt20567314,"[2650000.0, nan, 1.0]",tt0020629,"[2310000.0, nan, 20.0]",tt0187188,"[2260000.0, nan, 3.0]",tt10607266,"[2100000.0, nan, 7.0]",tt0079978,"[2070000.0, nan, 1.0]"
2023-04-09,tt13918776,"[130480000.0, nan, 3.0]",tt11704040,"[43140000.0, nan, 3.0]",tt14403178,"[34080000.0, nan, 1.0]",tt13505052,"[17580000.0, nan, 2.0]",tt2741602,"[17260000.0, nan, 2.0]",tt2403776,"[16740000.0, nan, 4.0]",tt16402422,"[13470000.0, nan, 2.0]",tt15441266,"[12390000.0, nan, 1.0]",tt5296406,"[11990000.0, nan, 1.0]",tt1487831,"[11890000.0, nan, 8.0]"
2023-04-09,tt21344706,"[18570000.0, nan, 10.0]",tt18382028,"[17740000.0, nan, 1.0]",tt26743607,"[13640000.0, nan, 1.0]",tt16163746,"[13230000.0, nan, 3.0]",tt26225090,"[9260000.0, nan, 2.0]",tt24578016,"[8300000.0, nan, 10.0]",tt0069644,"[7500000.0, nan, 1.0]",tt15494864,"[6920000.0, nan, 3.0]",tt22001792,"[6600000.0, nan, 2.0]",,
2023-04-02,tt15255288,"[64420000.0, nan, 1.0]",tt1618434,"[24690000.0, nan, 2.0]",tt3155298,"[12700000.0, nan, 4.0]",tt0857381,"[8280000.0, nan, 2.0]",tt2560092,"[6330000.0, nan, 3.0]",tt5113044,"[3540000.0, nan, 6.0]",tt0141208,"[3260000.0, nan, 3.0]",tt6491178,"[3240000.0, nan, 3.0]",tt1679335,"[3210000.0, nan, 6.0]",tt1194173,"[3200000.0, nan, 1.0]"
2023-04-02,tt16900880,"[19610000.0, nan, 1.0]",tt22297828,"[17300000.0, nan, 2.0]",,,tt0187188,"[6930000.0, nan, 2.0]",tt25260664,"[3710000.0, nan, 2.0]",tt0020629,"[3420000.0, nan, 19.0]",tt15654800,"[2910000.0, nan, 3.0]",tt26763229,"[2480000.0, nan, 3.0]",tt15175188,"[2410000.0, nan, 1.0]",tt22170224,"[2360000.0, nan, 1.0]"
2023-04-02,tt13918776,"[216390000.0, nan, 2.0]",tt11704040,"[47640000.0, nan, 2.0]",tt2403776,"[27000000.0, nan, 3.0]",tt13505052,"[24320000.0, nan, 1.0]",tt1487831,"[18220000.0, nan, 7.0]",,,tt16402422,"[14460000.0, nan, 1.0]",tt13443470,"[12180000.0, nan, 18.0]",tt1906230,"[11360000.0, nan, 1.0]",tt10293938,"[11310000.0, nan, 6.0]"
2023-04-02,tt16163746,"[35890000.0, nan, 2.0]",tt21344706,"[26720000.0, nan, 9.0]",tt15494864,"[17250000.0, nan, 2.0]",tt24578016,"[10970000.0, nan, 9.0]",,,tt11053146,"[7850000.0, nan, 2.0]",tt26225090,"[7540000.0, nan, 1.0]",tt21955940,"[7260000.0, nan, 2.0]",tt13980362,"[7200000.0, nan, 5.0]",tt22001792,"[6730000.0, nan, 1.0]"
2023-03-26,tt3155298,"[24700000.0, nan, 3.0]",tt2560092,"[16730000.0, nan, 2.0]",tt0857381,"[10830000.0, nan, 1.0]",tt6491178,"[9310000.0, nan, 2.0]",tt26739529,"[5000000.0, nan, 2.0]",tt1618434,"[4490000.0, nan, 1.0]",tt0396171,"[4450000.0, nan, 1.0]",tt1411250,"[3980000.0, nan, 1.0]",tt5113044,"[3810000.0, nan, 5.0]",tt7798604,"[3540000.0, nan, 5.0]"
2023-03-26,tt26763229,"[12560000.0, nan, 2.0]",tt0353814,"[12300000.0, nan, 2.0]",tt22297828,"[11700000.0, nan, 1.0]",tt15654800,"[10230000.0, nan, 2.0]",tt0020629,"[6850000.0, nan, 18.0]",tt0187188,"[5910000.0, nan, 1.0]",tt25260664,"[4320000.0, nan, 1.0]",,,tt0317248,"[3050000.0, nan, 1.0]",tt0013607,"[2880000.0, nan, 1.0]"
2023-03-26,tt13918776,"[168710000.0, nan, 1.0]",tt2403776,"[55030000.0, nan, 2.0]",tt1487831,"[30230000.0, nan, 6.0]",tt11704040,"[25520000.0, nan, 1.0]",tt26687196,"[21510000.0, nan, 1.0]",tt2403776,"[21300000.0, nan, 2.0]",tt10293938,"[16880000.0, nan, 5.0]",tt0179609,"[13910000.0, nan, 4.0]",tt13443470,"[13400000.0, nan, 17.0]",tt26739535,"[9960000.0, nan, 3.0]"
2023-03-26,tt21344706,"[48350000.0, nan, 8.0]",,,tt16163746,"[19410000.0, nan, 1.0]",tt15494864,"[16080000.0, nan, 1.0]",tt24578016,"[13510000.0, nan, 8.0]",,,tt13980362,"[11740000.0, nan, 4.0]",tt21955940,"[11540000.0, nan, 1.0]",tt11053146,"[11130000.0, nan, 1.0]",tt13400006,"[7620000.0, nan, 6.0]"
2023-03-19,tt3155298,"[69540000.0, nan, 2.0]",tt18747542,"[14830000.0, nan, 2.0]",tt2560092,"[13690000.0, nan, 1.0]",tt26739529,"[13670000.0, nan, 1.0]",tt6491178,"[9590000.0, nan, 1.0]",tt7798604,"[5960000.0, nan, 4.0]",tt1951264,"[5010000.0, nan, 2.0]",tt1860353,"[5000000.0, nan, 3.0]",tt10321126,"[4900000.0, nan, 3.0]",tt1650554,"[4030000.0, nan, 1.0]"
2023-03-19,tt15654800,"[11550000.0, nan, 1.0]",tt0020629,"[9530000.0, nan, 17.0]",tt0353814,"[8750000.0, nan, 1.0]",tt26763229,"[8630000.0, nan, 1.0]",tt15281704,"[3550000.0, nan, 1.0]",tt26739643,"[3000000.0, nan, 1.0]",,,,,tt15427980,"[2430000.0, nan, 1.0]",tt0108144,"[2270000.0, nan, 1.0]"
2023-03-19,tt1487831,"[64060000.0, nan, 5.0]",tt2403776,"[50400000.0, nan, 1.0]",tt26739535,"[28980000.0, nan, 2.0]",tt10293938,"[25950000.0, nan, 4.0]",tt2403776,"[24070000.0, nan, 1.0]",tt26690964,"[23630000.0, nan, 1.0]",tt0179609,"[22280000.0, nan, 3.0]",tt13443470,"[14990000.0, nan, 16.0]",tt0179609,"[13180000.0, nan, 10.0]",tt0198203,"[11540000.0, nan, 5.0]"
2023-03-19,tt21344706,"[123590000.0, nan, 7.0]",tt13980362,"[20100000.0, nan, 3.0]",,,tt15471900,"[16410000.0, nan, 2.0]",tt24578016,"[14360000.0, nan, 7.0]",tt13980362,"[10030000.0, nan, 8.0]",tt13400006,"[9770000.0, nan, 5.0]",tt26340363,"[8100000.0, nan, 2.0]",tt20565150,"[8010000.0, nan, 4.0]",,
2023-03-12,tt3155298,"[65920000.0, nan, 1.0]",tt18747542,"[21810000.0, nan, 1.0]",tt7798604,"[13390000.0, nan, 3.0]",tt10321126,"[8320000.0, nan, 2.0]",tt1860353,"[7980000.0, nan, 2.0]",tt1951264,"[7340000.0, nan, 1.0]",tt11832046,"[6530000.0, nan, 2.0]",tt1371150,"[6220000.0, nan, 2.0]",tt0816711,"[5560000.0, nan, 1.0]",tt0321553,"[5540000.0, nan, 1.0]"
2023-03-12,,,tt23334464,"[9990000.0, nan, 2.0]",tt26548664,"[6460000.0, nan, 2.0]",tt0020629,"[4230000.0, nan, 16.0]",tt6708668,"[3540000.0, nan, 8.0]",tt23157348,"[2660000.0, nan, 1.0]",tt16234468,"[2610000.0, nan, 4.0]",tt0293007,"[1760000.0, nan, 2.0]",tt3685236,"[1420000.0, nan, 1.0]",tt25406500,"[1350000.0, nan, 1.0]"
2023-03-12,tt1487831,"[75810000.0, nan, 4.0]",tt26739535,"[59880000.0, nan, 1.0]",tt0179609,"[46720000.0, nan, 2.0]",tt10293938,"[44580000.0, nan, 3.0]",tt0179609,"[25930000.0, nan, 9.0]",tt10394770,"[24430000.0, nan, 2.0]",tt0198203,"[18900000.0, nan, 4.0]",,,tt10293938,"[16360000.0, nan, 9.0]",tt10293938,"[16140000.0, nan, 8.0]"
2023-03-12,tt21344706,"[124460000.0, nan, 6.0]",tt13980362,"[39080000.0, nan, 2.0]",tt13980362,"[23830000.0, nan, 7.0]",tt24578016,"[22350000.0, nan, 6.0]",tt26340363,"[16430000.0, nan, 1.0]",tt20565150,"[14780000.0, nan, 3.0]",tt13400006,"[13670000.0, nan, 4.0]",tt21092364,"[9970000.0, nan, 2.0]",tt1704637,"[8230000.0, nan, 11.0]",tt15471900,"[8070000.0, nan, 1.0]"
2023-03-05,tt7798604,"[42620000.0, nan, 2.0]",tt16437278,"[14570000.0, nan, 2.0]",tt0076180,"[10230000.0, nan, 1.0]",tt0790736,"[8330000.0, nan, 1.0]",tt1502397,"[8330000.0, nan, 2.0]",tt0178998,"[7500000.0, nan, 4.0]",tt1371150,"[6580000.0, nan, 1.0]",tt10321126,"[6230000.0, nan, 1.0]",,,tt11832046,"[5620000.0, nan, 1.0]"
2023-03-05,tt26548664,"[12170000.0, nan, 1.0]",,,tt21825858,"[6110000.0, nan, 2.0]",tt16234468,"[5460000.0, nan, 3.0]",tt15281402,"[5380000.0, nan, 1.0]",tt23334464,"[4840000.0, nan, 1.0]",tt0020629,"[4200000.0, nan, 15.0]",tt6708668,"[3170000.0, nan, 7.0]",tt0293007,"[1390000.0, nan, 1.0]",tt13051810,"[1380000.0, nan, 4.0]"
2023-03-05,tt10293938,"[99000000.0, nan, 2.0]",tt0179609,"[43890000.0, nan, 1.0]",tt0198203,"[42660000.0, nan, 3.0]",tt10293938,"[34050000.0, nan, 7.0]",tt26340238,"[33360000.0, nan, 2.0]",tt10293938,"[27750000.0, nan, 8.0]",tt8289930,"[26230000.0, nan, 2.0]",tt0179609,"[19630000.0, nan, 8.0]",tt13443470,"[16410000.0, nan, 15.0]",tt10394770,"[16160000.0, nan, 1.0]"
2023-03-05,tt20565150,"[39650000.0, nan, 2.0]",tt13980362,"[34630000.0, nan, 1.0]",tt24578016,"[25970000.0, nan, 5.0]",tt13980362,"[21980000.0, nan, 6.0]",tt13400006,"[20470000.0, nan, 3.0]",tt25274446,"[14370000.0, nan, 6.0]",tt21092364,"[14270000.0, nan, 1.0]",tt1704637,"[9750000.0, nan, 10.0]",tt26595396,"[8720000.0, nan, 1.0]",tt15441160,"[8540000.0, nan, 3.0]"
2023-02-26,tt7798604,"[40470000.0, nan, 1.0]",tt16437278,"[28780000.0, nan, 1.0]",tt0178998,"[22290000.0, nan, 3.0]",tt0421041,"[15600000.0, nan, 1.0]",tt8093700,"[10230000.0, nan, 2.0]",tt1272878,"[8550000.0, nan, 2.0]",tt0369610,"[7430000.0, nan, 2.0]",tt4912910,"[6360000.0, nan, 2.0]",tt5113044,"[6270000.0, nan, 4.0]",tt1502397,"[6070000.0, nan, 1.0]"
2023-02-26,tt16234468,"[16150000.0, nan, 2.0]",tt0020629,"[5470000.0, nan, 14.0]",tt21825858,"[5340000.0, nan, 1.0]",tt0031159,"[3800000.0, nan, 2.0]",tt26369131,"[3750000.0, nan, 2.0]",tt12616964,"[3610000.0, nan, 2.0]",tt21250176,"[2810000.0, nan, 2.0]",tt0861739,"[2360000.0, nan, 1.0]",tt21801648,"[1960000.0, nan, 1.0]",tt12808182,"[1850000.0, nan, 6.0]"
2023-02-26,tt10293938,"[154970000.0, nan, 1.0]",tt26340238,"[40050000.0, nan, 1.0]",tt0198203,"[39510000.0, nan, 2.0]",tt10293938,"[35100000.0, nan, 6.0]",tt1487831,"[27750000.0, nan, 3.0]",tt8289930,"[25760000.0, nan, 1.0]",tt10293938,"[23860000.0, nan, 7.0]",tt12036612,"[20540000.0, nan, 2.0]",tt13443470,"[18950000.0, nan, 14.0]",tt1520211,"[15940000.0, nan, 3.0]"
2023-02-26,tt20565150,"[50730000.0, nan, 1.0]",tt25274446,"[37420000.0, nan, 5.0]",tt13400006,"[32440000.0, nan, 2.0]",tt24578016,"[23280000.0, nan, 4.0]",tt15441160,"[22500000.0, nan, 2.0]",tt13278100,"[16790000.0, nan, 2.0]",tt26229508,"[14370000.0, nan, 3.0]",tt26346647,"[12890000.0, nan, 1.0]",tt13278100,"[12710000.0, nan, 4.0]",tt1704637,"[12370000.0, nan, 9.0]"
2023-02-19,tt0178998,"[53810000.0, nan, 2.0]",tt1272878,"[12460000.0, nan, 1.0]",tt8093700,"[12210000.0, nan, 1.0]",tt14826022,"[8500000.0, nan, 4.0]",tt5113044,"[7960000.0, nan, 3.0]",tt4912910,"[5940000.0, nan, 1.0]",tt7329656,"[5800000.0, nan, 1.0]",tt0464831,"[5740000.0, nan, 3.0]",tt1634106,"[4620000.0, nan, 4.0]",tt0369610,"[4330000.0, nan, 1.0]"
2023-02-19,tt26369131,"[12760000.0, nan, 1.0]",tt12616964,"[9930000.0, nan, 1.0]",tt16234468,"[8870000.0, nan, 1.0]",tt21250176,"[6330000.0, nan, 1.0]",tt0031159,"[4250000.0, nan, 1.0]",tt13051810,"[3950000.0, nan, 3.0]",tt0020629,"[2990000.0, nan, 13.0]",,,tt15789492,"[2130000.0, nan, 3.0]",,
2023-02-19,tt1487831,"[64060000.0, nan, 2.0]",tt0198203,"[24650000.0, nan, 1.0]",tt1487831,"[22400000.0, nan, 7.0]",tt12036612,"[21270000.0, nan, 1.0]",tt13443470,"[20240000.0, nan, 13.0]",tt10813940,"[18510000.0, nan, 7.0]",tt0862578,"[17110000.0, nan, 1.0]",tt11704040,"[15860000.0, nan, 7.0]",tt1487831,"[15620000.0, nan, 10.0]",tt1487831,"[15120000.0, nan, 6.0]"
2023-02-19,tt25274446,"[45420000.0, nan, 4.0]",tt26229508,"[28570000.0, nan, 2.0]",tt15441160,"[28250000.0, nan, 1.0]",tt24578016,"[21520000.0, nan, 3.0]",tt13400006,"[20950000.0, nan, 1.0]",tt21206964,"[16160000.0, nan, 1.0]",tt1232714,"[14940000.0, nan, 2.0]",tt1704637,"[14890000.0, nan, 8.0]",tt20859920,"[11900000.0, nan, 8.0]",tt13278100,"[10040000.0, nan, 1.0]"
