week,at_rank1,views_at_rank1,at_rank2,views_at_rank2,at_rank3,views_at_rank3,at_rank4,views_at_rank4,at_rank5,views_at_rank5,at_rank6,views_at_rank6,at_rank7,views_at_rank7,at_rank8,views_at_rank8,at_rank9,views_at_rank9,at_rank10,views_at_rank10
2023-11-26,tt2320142,"[61700000.0, 34600000.0, 1.0]",tt7038762,"[18200000.0, 13300000.0, 2.0]",tt1136617,"[17500000.0, 8800000.0, 3.0]",tt14960612,"[11300000.0, 7100000.0, 2.0]",tt15428940,"[6700000.0, 4600000.0, 1.0]",tt1488606,"[7500000.0, 3600000.0, 1.0]",tt2990140,"[5900000.0, 3400000.0, 6.0]",,,tt1091191,"[5500000.0, 2700000.0, 2.0]",tt14715170,"[4300000.0, 2700000.0, 7.0]"
2023-11-26,tt23334616,"[16300000.0, 10700000.0, 1.0]",tt26258204,"[12300000.0, 6400000.0, 2.0]",tt27921620,"[8700000.0, 5100000.0, 2.0]",tt29692772,"[5000000.0, 4200000.0, 1.0]",tt18266472,"[5300000.0, 2300000.0, 1.0]",,,tt21638298,"[3600000.0, 1900000.0, 4.0]",,,tt28081899,"[2700000.0, 1600000.0, 1.0]",tt21448346,"[3600000.0, 1600000.0, 1.0]"
2023-11-26,tt28104766,"[85700000.0, 20100000.0, 1.0]",tt4786824,"[29300000.0, 8800000.0, 2.0]",tt15040002,"[13200000.0, 3400000.0, 1.0]",tt15320362,"[12600000.0, 3300000.0, 4.0]",,,tt6226232,"[15000000.0, 2100000.0, 1.0]",tt16969708,"[7400000.0, 2000000.0, 1.0]",tt7546362,"[6600000.0, 1700000.0, 1.0]",tt29388212,"[4800000.0, 1600000.0, 3.0]",,
2023-11-26,tt22780536,"[29000000.0, 6400000.0, 1.0]",tt22459586,"[41000000.0, 5300000.0, 2.0]",,,tt29569035,"[6700000.0, 3000000.0, 1.0]",tt27787856,"[8100000.0, 2400000.0, 1.0]",tt10919420,"[13300000.0, 1600000.0, 21.0]",tt28348835,"[16700000.0, 1600000.0, 4.0]",tt29225198,"[24500000.0, 1500000.0, 8.0]",tt15576994,"[7300000.0, 1400000.0, 1.0]",tt28019928,"[7400000.0, 1200000.0, 2.0]"
2023-11-19,tt1136617,"[44500000.0, 22300000.0, 2.0]",tt7038762,"[22300000.0, 16300000.0, 1.0]",tt6475714,"[10500000.0, 6100000.0, 1.0]",tt24870072,"[8200000.0, 5100000.0, 3.0]",tt5433138,"[10200000.0, 4300000.0, 4.0]",tt1091191,"[8000000.0, 4000000.0, 1.0]",tt5719748,"[5900000.0, 3000000.0, 4.0]",tt11832046,"[3800000.0, 2700000.0, 8.0]",tt15257160,"[5500000.0, 2600000.0, 4.0]",tt14960612,"[4000000.0, 2500000.0, 1.0]"
2023-11-19,tt26258204,"[10900000.0, 5600000.0, 1.0]",tt21638298,"[8900000.0, 4600000.0, 3.0]",tt27921620,"[4700000.0, 2700000.0, 1.0]",tt1091844,"[3700000.0, 2200000.0, 2.0]",,,tt26787296,"[3100000.0, 1900000.0, 4.0]",tt21211474,"[3200000.0, 1500000.0, 1.0]",tt15789472,"[2600000.0, 1400000.0, 8.0]",tt19072084,"[1700000.0, 1400000.0, 2.0]",tt26596953,"[2300000.0, 1000000.0, 8.0]"
2023-11-19,tt4786824,"[36900000.0, 11100000.0, 1.0]",,,tt15320362,"[21700000.0, 5700000.0, 3.0]",tt29541632,"[11900000.0, 3900000.0, 1.0]",tt29388212,"[9400000.0, 3200000.0, 2.0]",tt9817298,"[18300000.0, 2400000.0, 3.0]",tt28210840,"[7300000.0, 2200000.0, 2.0]",tt27423738,"[9800000.0, 2100000.0, 3.0]",tt23181388,"[13700000.0, 2000000.0, 4.0]",tt13309742,"[12300000.0, 1900000.0, 2.0]"
2023-11-19,tt22459586,"[50800000.0, 6500000.0, 1.0]",tt28019928,"[15400000.0, 2600000.0, 1.0]",,,tt15473010,"[10200000.0, 2000000.0, 3.0]",tt28348835,"[15200000.0, 2000000.0, 3.0]",tt26258202,"[23500000.0, 1800000.0, 2.0]",tt29225198,"[23700000.0, 1600000.0, 7.0]",,,tt1018841,"[8500000.0, 1500000.0, 7.0]",tt21279114,"[8200000.0, 1500000.0, 2.0]"
2023-11-12,tt1136617,"[55700000.0, 27900000.0, 1.0]",tt24870072,"[21400000.0, 13200000.0, 2.0]",tt5433138,"[24900000.0, 10400000.0, 3.0]",tt28254460,"[9500000.0, 5900000.0, 2.0]",tt5302918,"[11700000.0, 5800000.0, 2.0]",tt15257160,"[10600000.0, 5100000.0, 3.0]",tt9362722,"[10200000.0, 4400000.0, 2.0]",tt14865406,"[6100000.0, 4300000.0, 1.0]",tt4172430,"[9900000.0, 4100000.0, 3.0]",tt5719748,"[6700000.0, 3400000.0, 3.0]"
2023-11-12,tt21638298,"[22500000.0, 11600000.0, 2.0]",tt1091844,"[9000000.0, 5400000.0, 1.0]",,,tt19072084,"[3400000.0, 2800000.0, 1.0]",tt26787296,"[4300000.0, 2600000.0, 3.0]",tt15789472,"[2900000.0, 1600000.0, 7.0]",tt19175696,"[2000000.0, 1300000.0, 3.0]",tt27795356,"[2800000.0, 1300000.0, 1.0]",tt16103606,"[3000000.0, 1200000.0, 1.0]",tt26596953,"[2700000.0, 1200000.0, 7.0]"
